Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Nzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-08-27,New cases of suspects,12,0,3,7,0,0,0,0,0,0,0,0,1,1,0,,,,,,,
2014-08-27,New cases of probables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2014-08-27,New cases of confirmed,10,4,0,5,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
2014-08-27,Total new cases registered so far,22,4,3,12,0,0,0,0,0,0,0,0,1,1,1,,,,,,,
2014-08-27,Total cases of suspects,22,8,4,8,0,0,0,0,0,0,0,0,1,1,0,,,,,,,
2014-08-27,Total cases of probables,142,8,102,11,3,5,1,3,,,,,,,,,,,,,,
2014-08-27,Total cases of confirmed,499,102,207,103,1,2,0,23,,,,,,,,,,,,,,
2014-08-27,Cumulative (confirmed + probable + suspects),663,118,313,122,4,7,1,26,,,,,,,,,,,,,,
2014-08-27,Total suspected non-class cases,518,195,192,63,1,8,0,18,,,,,,,,,,,,,,
2014-08-27,New deaths registered,2,0,0,2,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total deaths of suspects,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total deaths of probables,142,8,102,11,3,5,1,3,,,,,,,,,,,,,,
2014-08-27,Total deaths of confirmed,294,39,166,53,1,1,0,7,,,,,,,,,,,,,,
2014-08-27,Total deaths (confirmed + probables + suspects),438,49,268,64,4,6,1,10,,,,,,,,,,,,,,
2014-08-27,Fatality rate for confirmed and probables,66%,42%,86%,52%,100%,86%,100%,38%,,,,,,,,,,,,,,
2014-08-27,New cases of confirmed among health workers,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total case of confirmed among health workers,45,22,7,9,0,0,0,2,,,,,,,,,,,,,,
2014-08-27,New deaths registered among health workers,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total deaths registered among health workers,26,11,5,7,0,0,0,1,,,,,,,,,,,,,,
2014-08-27,New admits to CTE so far,12,5,7,0,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total number of hospitalized cases in CTE,80,26,54,0,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total number of exits from CTE,14,6,8,0,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total number of admissions to CTE,999,307,638,0,0,0,0,41,,,,,,,,,,,,,,
2014-08-27,New contacts registered so far,127,9,86,24,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Total contacts registered from start date,7662,1934,3418,680,69,159,0,259,,,,,,,,,,,,,,
2014-08-27,Number of contacts to follow today,1264,204,302,360,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Number of contacts followed today,1250,204,300,359,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Number of contacts out of the track 21 days,6496,1725,3116,434,69,159,0,259,,,,,,,,,,,,,,
2014-08-27,Number of contacts lost to follow up,14,0,2,1,0,0,0,0,,,,,,,,,,,,,,
2014-08-27,Number of samples collected today,58,12,46,0,,,,,,,,,,,,,,,,,,
2014-08-27,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-08-27,Total samples tested,1719,742,977,0,,,,,,,,,,,,,,,,,,
