Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Nzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba
2014-09-16,New cases of suspects,4,3,,,,,,,,,,,,,1,,,,
2014-09-16,New cases of probables,0,,,,,,,,,,,,,,,,,,
2014-09-16,New cases of confirmed,6,2,,3,,,,,,,,,,,,,,,1
2014-09-16,Total new cases registered so far,10,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-09-16,Total cases of suspects,32,14,5,9,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
2014-09-16,Total cases of probables,161,8,110,12,3,5,1,3,5,2,0,1,11,0,0,0,0,0,0
2014-09-16,Total cases of confirmed,771,129,235,258,1,3,0,23,19,2,6,6,17,11,21,9,22,7,2
2014-09-16,Cumulative (confirmed + probable + suspects),964,151,350,279,4,8,1,26,24,4,6,9,28,11,22,10,22,7,2
2014-09-16,Total suspected non-class cases,787,278,255,130,3,7,0,18,20,1,9,17,9,4,19,9,5,3,0
2014-09-16,New deaths registered,3,,,3,,,,,,,,,,,,,,,
2014-09-16,Total deaths of suspects,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,Total deaths of probables,161,8,110,12,3,5,1,3,5,2,0,1,11,0,0,0,0,0,0
2014-09-16,Total deaths of confirmed,442,51,182,151,1,2,0,7,11,2,3,2,9,5,4,5,3,4,0
2014-09-16,Total deaths (confirmed + probables + suspects),608,61,293,165,4,7,1,10,16,4,3,3,20,5,4,5,3,4,0
2014-09-16,Fatality rate for confirmed and probables,63%,40%,84%,59%,100%,88%,100%,38%,67%,100%,50%,33%,71%,45%,18%,50%,14%,57%,0%
2014-09-16,New cases of confirmed among health workers,0,,,,,,,,,,,,,,,,,,
2014-09-16,Total case of confirmed among health workers,61,33,9,9,0,0,0,2,0,0,2,0,1,1,3,0,0,1,0
2014-09-16,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,Total deaths registered among health workers,30,14,6,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2014-09-16,New admits to CTE so far,3,3,0,,,,,,,,,,,,,,,,
2014-09-16,Total number of hospitalized cases in CTE,66,17,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,Total number of exits from CTE,24,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-16,Total number of admissions to CTE,1348,452,842,0,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0
2014-09-16,New contacts registered so far,53,48,,,,,,,,,,,,,,5,,,
2014-09-16,Total contacts registered from start date,10082,2645,3749,1265,69,159,0,259,397,94,141,140,264,56,341,145,208,116,34
2014-09-16,Number of contacts to follow today,2433,638,254,970,0,0,0,0,0,0,0,25,99,35,69,84,137,88,34
2014-09-16,Number of contacts followed today,2372,635,244,960,0,0,0,0,0,0,0,25,98,30,69,74,137,80,20
2014-09-16,Number of contacts out of the track 21 days,7642,2007,3489,295,69,159,0,259,397,94,141,115,164,21,272,61,71,28,0
2014-09-16,Number of contacts lost to follow up,7,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-09-16,Number of samples collected today,25,13,12,0,,,,,,,,,,,,,,,
2014-09-16,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,
2014-09-16,Total samples tested,2489,1017,1472,0,,,,,,,,,,,,,,,
