Date,Description,Totals,Conakry,Gueckedou,Macenta,Dabola,Kissidougou,Dinguiraye,Telimele,Boffa,Kouroussa,Siguiri,Pita,Mzerekore,Yomou,Dubreka,Forecariah,Kerouane,Coyah,Dalaba,Beyla,Kindia,Lola
2014-09-30,New cases of suspects,4,,1,,,,,,,,,,3,,,,,,,,,
2014-09-30,New cases of probables,0,,,,,,,,,,,,,,,,,,,,,
2014-09-30,New cases of confirmed,11,,1,7,,,,,,,,,2,,,,,1,,,,
2014-09-30,Total new cases registered so far,15,0,2,7,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,
2014-09-30,Total cases of suspects,33,9,4,7,0,0,0,0,0,0,0,1,9,0,0,3,0,0,0,0,0,
2014-09-30,Total cases of probables,175,10,112,16,3,5,1,3,5,2,0,1,15,0,0,2,0,0,0,0,0,
2014-09-30,Total cases of confirmed,961,166,245,377,1,3,0,23,19,2,6,6,26,11,21,11,23,12,6,2,1,
2014-09-30,Cumulative (confirmed + probable + suspects),1169,185,361,400,4,8,1,26,24,4,6,8,50,11,21,16,23,12,6,2,1,
2014-09-30,Total suspected non-class cases,951,347,266,193,3,7,0,18,20,2,9,18,11,4,20,13,9,6,1,0,4,
2014-09-30,New deaths registered,4,1,1,1,,,,,,,,,1,,,,,,,,,
2014-09-30,Total deaths of suspects,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,Total deaths of probables,175,10,112,16,3,5,1,3,5,2,0,1,15,0,0,2,0,0,0,0,0,
2014-09-30,Total deaths of confirmed,539,66,188,213,1,2,0,7,11,2,3,2,14,5,7,7,5,5,0,1,0,
2014-09-30,Total deaths (confirmed + probables + suspects),714,76,300,229,4,7,1,10,16,4,3,3,29,5,7,9,5,5,0,0,0,
2014-09-30,Fatality rate for confirmed and probables,61%,41%,83%,57%,100%,88%,100%,38%,67%,100%,50%,38%,58%,45%,33%,56%,22%,42%,0%,,0,
2014-09-30,New cases of confirmed among health workers,0,,,,,,,,,,,,,,,,,,,,,
2014-09-30,Total case of confirmed among health workers,67,38,9,9,0,0,0,2,0,0,2,0,2,1,3,0,0,1,0,0,0,
2014-09-30,New deaths registered among health workers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-30,Total deaths registered among health workers,35,18,6,7,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,
2014-09-30,New admits to CTE so far,8,2,6,,,,,,,,,,,,,,,,,,,
2014-09-30,Total number of hospitalized cases in CTE,112,37,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-30,Total number of exits from CTE,13,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-09-30,Total number of admissions to CTE,1548,553,914,27,0,0,0,41,0,0,13,0,0,0,0,0,0,0,0,0,0,
2014-09-30,New contacts registered so far,20,,,,,,,,,,,,,,,6,,,,14,,
2014-09-30,Total contacts registered from start date,11719,3273,3809,1563,69,159,0,259,397,94,141,140,353,56,341,212,674,116,34,29,0,
2014-09-30,Number of contacts to follow today,2657,773,140,1038,0,0,0,0,0,0,0,0,151,0,49,151,194,98,34,29,0,
2014-09-30,Number of contacts followed today,2615,752,140,1030,0,0,0,0,0,0,0,0,149,0,49,146,194,98,20,29,0,
2014-09-30,Number of contacts out of the track 21 days,9021,2500,3629,525,69,159,0,259,397,94,141,140,202,56,292,61,480,17,0,0,0,
2014-09-30,Number of contacts lost to follow up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
2014-09-30,Number of samples collected today,19,5,14,0,,,,,,,,,,,,,,,,,,
2014-09-30,Number of samples under test,0,0,0,0,,,,,,,,,,,,,,,,,,
2014-09-30,Total samples tested,2807,1155,1652,0,,,,,,,,,,,,,,,,,,
