Date,Variable,National,Bomi County,Bong County,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
7/13/2014,Specimens collected,,,,,,,,,,,,
7/13/2014,Specimens pending for testing,,,,,,,,,,,,
7/13/2014,Total specimens tested,,,,,,,,,,,,
7/13/2014,Newly reported deaths,3,0,0,0,0,0,0,3,0,0,0,0
7/13/2014,Total death/s in confirmed cases,42,1,0,0,23,2,0,16,0,0,0,0
7/13/2014,Total death/s in probable cases,31,0,0,0,14,0,0,17,0,0,0,0
7/13/2014,Total death/s in suspected cases,21,0,0,0,12,0,0,9,0,0,0,0
7/13/2014,"Total death/s in confirmed, probable, suspected cases",94,1,0,0,49,2,0,42,0,0,0,0
7/13/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,70.9,,0,0,62.7,66.7,0,82.5,0,0,0,0
7/13/2014,Newly reported contacts,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2014,Total contacts listed,398,0,0,0,155,28,0,215,0,0,0,0
7/13/2014,Currently under follow-up,363,0,0,0,143,5,0,215,0,0,0,0
7/13/2014,Contacts seen,364,0,0,0,150,5,0,209,0,0,0,0
7/13/2014,Contacts who completed 21 day follow-up,12,0,0,0,12,0,0,0,0,0,0,0
7/13/2014,Contacts lost to follow-up,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2014,New admissions,4,0,0,0,3,0,0,1,0,0,0,0
7/13/2014,Total no. currently in Treatment Units,20,0,0,0,15,0,0,5,0,0,0,0
7/13/2014,Total discharges,2,0,0,0,0,0,0,2,0,0,0,0
7/13/2014,Cumulative admission/isolation,20,0,0,0,15,0,0,5,0,0,0,0
7/13/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2014,Cumulative cases among HCW,11,0,0,0,5,0,0,6,0,0,0,0
7/13/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0
7/13/2014,Cumulative deaths among HCW,9,0,0,0,4,0,0,5,0,0,0,0
7/13/2014,New Case/s (Suspected),0,0,0,0,0,0,0,0,0,0,0,0
7/13/2014,New Case/s (Probable),5,0,0,0,3,0,0,2,0,0,0,0
7/13/2014,New case/s (confirmed),0,0,0,0,0,0,0,0,0,0,0,0
7/13/2014,Total suspected cases,61,0,0,0,45,0,0,15,1,0,0,0
7/13/2014,Total probable cases,39,0,0,0,20,2,0,17,0,0,0,0
7/13/2014,Total confirmed cases,64,1,0,0,39,1,0,23,0,0,0,0
7/13/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,4,0,0,0,4,0,0,0,0,0,0,0
7/13/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
