Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County
7/24/2014,Specimens collected,19,11,6,0,0,0,1,1,0,0,0,0
7/24/2014,Specimens pending for testing,19,11,6,0,0,0,1,1,0,0,0,0
7/24/2014,Total specimens tested,13,0,0,0,0,0,0,4,0,0,9,0
7/24/2014,Newly reported deaths,6,0,0,0,0,0,1,1,0,0,4,0
7/24/2014,Total death/s in confirmed cases,60,1,4,0,0,0,0,32,2,0,21,0
7/24/2014,Total death/s in probable cases,59,1,2,0,0,0,0,20,0,0,36,0
7/24/2014,Total death/s in suspected cases,17,0,1,0,0,0,1,14,0,0,1,0
7/24/2014,"Total death/s in confirmed, probable, suspected cases",136,2,7,0,0,0,1,66,2,0,58,0
7/24/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,60.4,15.4,26.1,0,0,0,0,58.4,50,0,87.7,0
7/24/2014,Newly reported contacts,42,0,22,0,0,0,0,12,0,0,8,0
7/24/2014,Total contacts listed,543,4,51,0,0,0,0,176,28,0,284,0
7/24/2014,Currently under follow-up,518,2,51,0,0,0,0,176,5,0,284,0
7/24/2014,Contacts seen,415,0,26,0,0,0,0,113,0,0,276,0
7/24/2014,Contacts who completed 21 day follow-up,0,0,0,0,0,0,0,0,0,0,0,0
7/24/2014,Contacts lost to follow-up,2,2,0,0,0,0,0,0,0,0,0,0
7/24/2014,New admissions,8,0,0,0,0,0,0,1,0,0,7,0
7/24/2014,Total no. currently in Treatment Units,29,0,0,0,0,0,0,13,0,0,16,0
7/24/2014,Total discharges,2,0,0,0,0,0,0,2,0,0,0,0
7/24/2014,Cumulative admission/isolation,29,0,0,0,0,0,0,13,0,0,16,0
7/24/2014,Newly Reported Cases in HCW,5,0,4,0,0,0,0,0,0,0,1,
7/24/2014,Cumulative cases among HCW,37,0,20,0,0,0,0,9,0,0,8,
7/24/2014,Newly Reported deaths in HCW,1,0,0,0,0,0,0,1,0,0,0,
7/24/2014,Cumulative deaths among HCW,15,0,3,0,0,0,0,5,0,0,7,
7/24/2014,New Case/s (Suspected),11,0,2,0,0,0,1,1,0,0,7,0
7/24/2014,New Case/s (Probable),16,11,4,0,0,0,0,1,0,0,0,0
7/24/2014,New case/s (confirmed),5,0,0,0,0,0,0,3,0,0,2,0
7/24/2014,Total suspected cases,91,0,12,0,0,0,1,53,0,0,24,1
7/24/2014,Total probable cases,111,12,13,0,0,0,0,45,2,0,38,1
7/24/2014,Total confirmed cases,86,1,10,0,0,0,0,44,2,0,27,2
7/24/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,11,0,0,0,0,0,0,11,0,0,0,0
7/24/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0
