Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,RiverCess County
8/4/14,Specimens collected,25,5,,,,,,10,,,10,,
8/4/14,Specimens pending for testing,41,9,9,,1,,,16,1,,1,4,
8/4/14,Total specimens tested,16,,,,,,,6,,,10,,
8/4/14,Newly reported deaths,7,1,,,,,,3,,3,,,
8/4/14,Total death/s in confirmed cases,122,6,4,,,1,,59,2,48,2,,
8/4/14,Total death/s in probable cases,108,4,6,,1,1,,41,,51,3,1,
8/4/14,Total death/s in suspected cases,41,,1,,,,,16,3,21,,,
8/4/14,"Total death/s in confirmed, probable, suspected cases",271,10,11,,1,2,,116,5,120,5,1,
8/4/14,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,
8/4/14,Newly reported contacts,26,,,,,,,,,,17,3,6
8/4/14,Total contacts listed,980,46,62,,3,,,231,28,,546,58,6
8/4/14,Currently under follow-up,914,38,50,,3,,,221,5,,546,47,4
8/4/14,Contacts seen,795,38,37,,,,,221,,,452,47,
8/4/14,Contacts who completed 21 day follow-up,37,1,12,,,,,20,,,,4,
8/4/14,Contacts lost to follow-up,7,7,,,,,,,,,,,
8/4/14,New admissions,13,,,,,,,10,,,3,,
8/4/14,Total no. currently in Treatment Units,49,,,,,,,36,,,13,,
8/4/14,Total discharges,3,,,,,,,2,,,1,,
8/4/14,Cumulative admission/isolation,49,,,,,,,36,,,13,,
8/4/14,Newly Reported Cases in HCW,,,,,,,,,,,,,
8/4/14,Cumulative cases among HCW,63,4,23,,,,,15,,,20,1,
8/4/14,Newly Reported deaths in HCW,,,,,,,,,,,,,
8/4/14,Cumulative deaths among HCW,32,4,3,,,,,11,,14,,,
8/4/14,New Case/s (Suspected),4,4,0,,,,,,,,,,
8/4/14,New Case/s (Probable),5,1,0,,,,,1,,3,,,
8/4/14,New case/s (confirmed),1,0,0,,,,,,,1,,,
8/4/14,Total suspected cases,121,4,33,,,,,57,5,,19,3,
8/4/14,Total probable cases,250,18,16,,1,1,,131,2,,75,5,1
8/4/14,Total confirmed cases,137,7,10,,,3,,67,2,,43,5,
8/4/14,Total Number of Confirmed Cases of Sierra Leonean Nationality,12,0,0,,,1,,11,,,,,
8/4/14,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,,,,,,,,,,
