Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,RiverCess County
8/12/2014,Specimens collected,2,,,,2,,,,,,,34,,
8/12/2014,Specimens pending for testing,12,,,,2,,,,6,1,,15,3,
8/12/2014,Total specimens tested,75,,,,,,,,56,,,19,,
8/12/2014,Newly reported deaths,29,,9,,,1,,,11,,,6,2,
8/12/2014,Total death/s in confirmed cases,147,7,7,,1,2,,,73,2,,51,4,
8/12/2014,Total death/s in probable cases,163,6,11,,1,1,,,75,,,63,5,1
8/12/2014,Total death/s in suspected cases,55,,3,,,,,,24,3,,24,1,
8/12/2014,"Total death/s in confirmed, probable, suspected cases",365,13,21,,2,3,,,172,5,,138,10,1
8/12/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
8/12/2014,Newly reported contacts,173,,55,,10,,,,49,,,59,,
8/12/2014,Total contacts listed,1481,63,195,,10,,,,393,28,,714,72,6
8/12/2014,Currently under follow-up,1183,63,156,,10,,,,342,5,,582,21,4
8/12/2014,Contacts seen,1069,60,78,,10,,,,342,,,558,21,
8/12/2014,Contacts who completed 21 day follow-up,69,,,,,,,,51,,,18,,
8/12/2014,Contacts lost to follow-up,28,3,1,,,,,,,,,24,,
8/12/2014,New admissions,32,,,,,,,,25,,,7,,
8/12/2014,Total no. currently in Treatment Units,164,,,,,,,,117,,,47,,
8/12/2014,Total discharges,9,,,,,,,,9,,,4,,
8/12/2014,Cumulative admission/isolation,164,,,,,,,,117,,,47,,
8/12/2014,Newly Reported Cases in HCW,1,,,,,,,,1,,,,,
8/12/2014,Cumulative cases among HCW,85,4,24,,3,,,,16,4,,33,1,
8/12/2014,Newly Reported deaths in HCW,1,,,,,,,,1,,,,,
8/12/2014,Cumulative deaths among HCW,36,4,4,,,,,,13,,,15,,
8/12/2014,New Case/s (Suspected),9,,3,,2,,,,,,,4,,
8/12/2014,New Case/s (Probable),49,,2,,,,,,40,,,7,,
8/12/2014,New case/s (confirmed),2,,,,,1,,,,,,0,1,
8/12/2014,Total suspected cases,155,4,41,,7,,,,61,9,,28,5,
8/12/2014,Total probable cases,390,28,25,,1,1,,,218,2,,110,5,
8/12/2014,Total confirmed cases,176,9,14,,6,4,,,90,2,,43,7,1
8/12/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,12,,,,,1,,,11,,,,,
8/12/2014,Total Number of Confirmed Cases of Guinean Nationality,,,,,,,,,,,,,,
