Date,Variable,National,Bomi County,Bong County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
8/15/2014,Specimens collected,70,0,0,0,0,0,56,0,12,2,0,0,0
8/15/2014,Specimens pending for testing,82,0,3,2,1,0,56,3,11,6,0,0,0
8/15/2014,Total specimens tested,31,0,0,0,0,0,30,0,1,0,0,0,0
8/15/2014,Newly reported deaths,17,1,0,0,1,1,10,0,4,0,0,0,0
8/15/2014,Total death/s in confirmed cases,172,8,7,1,3,0,86,3,60,4,0,0,0
8/15/2014,Total death/s in probable cases,200,6,11,1,1,0,86,2,86,6,0,1,0
8/15/2014,Total death/s in suspected cases,83,0,5,0,2,1,30,5,39,1,0,0,0
8/15/2014,"Total death/s in confirmed, probable, suspected cases",455,14,23,2,6,1,202,10,185,11,0,1,0
8/15/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,
8/15/2014,Newly reported contacts,59,0,1,0,0,0,21,0,22,15,0,0,0
8/15/2014,Total contacts listed,1777,64,218,10,31,0,442,28,860,118,0,6,0
8/15/2014,Currently under follow-up,1265,59,161,10,31,0,404,5,532,59,0,4,0
8/15/2014,Contacts seen,1103,59,58,10,31,0,404,0,482,59,0,0,0
8/15/2014,Contacts who completed 21 day follow-up,100,5,37,0,0,0,38,0,20,0,0,0,0
8/15/2014,Contacts lost to follow-up,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2014,New admissions,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2014,Total no. currently in Treatment Units,196,0,0,0,0,0,119,0,77,0,0,0,0
8/15/2014,Total discharges,2,0,0,0,0,0,0,0,2,0,0,0,0
8/15/2014,Cumulative admission/isolation,196,0,0,0,0,0,119,0,77,0,0,0,0
8/15/2014,Newly Reported Cases in HCW,2,0,0,0,0,0,0,0,2,0,0,0,0
8/15/2014,Cumulative cases among HCW,92,4,24,3,3,0,16,4,37,1,0,0,0
8/15/2014,Newly Reported deaths in HCW,3,0,0,0,0,0,0,1,2,0,0,0,0
8/15/2014,Cumulative deaths among HCW,42,4,4,0,0,0,13,1,20,0,0,0,0
8/15/2014,New Case/s (Suspected),10,0,0,0,1,1,0,1,4,3,0,0,0
8/15/2014,New Case/s (Probable),5,0,0,0,0,0,0,1,2,2,0,0,0
8/15/2014,New case/s (confirmed),4,0,4,0,0,0,0,0,0,0,0,0,0
8/15/2014,Total suspected cases,190,4,44,8,1,1,61,14,48,9,0,0,0
8/15/2014,Total probable cases,442,28,25,1,3,0,244,2,132,7,0,0,0
8/15/2014,Total confirmed cases,194,9,18,6,4,0,104,2,43,7,0,1,0
8/15/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,2,0,11,0,0,0,0,0,0
8/15/2014,Total Number of Confirmed Cases of Guinean Nationality,0,0,0,0,0,0,0,0,0,0,0,0,0
