Date,Variable,National,Bomi County,Bong County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,RiverCess County
8/17/2014,Specimens collected,,,,,,,,,,,
8/17/2014,Specimens pending for testing,24,,3,3,1,,,4,11,3,
8/17/2014,Total specimens tested,23,,,,,,23,,,,
8/17/2014,Newly reported deaths,11,,,,,,3,3,5,,
8/17/2014,Total death/s in confirmed cases,180,8,8,1,3,,92,3,61,4,
8/17/2014,Total death/s in probable cases,204,6,11,1,1,,87,3,88,6,1
8/17/2014,Total death/s in suspected cases,97,,6,,2,1,34,8,45,1,
8/17/2014,"Total death/s in confirmed, probable, suspected cases",481,14,25,2,6,1,213,14,194,11,1
8/17/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,
8/17/2014,Newly reported contacts,107,,,,,,,55,52,,
8/17/2014,Total contacts listed,2024,64,248,10,31,,490,101,956,118,6
8/17/2014,Currently under follow-up,1180,59,191,10,31,,358,78,390,59,4
8/17/2014,Contacts seen,895,,,10,31,,358,78,359,59,
8/17/2014,Contacts who completed 21 day follow-up,45,,,,,,35,,13,,
8/17/2014,Contacts lost to follow-up,,,,,,,,,,,
8/17/2014,New admissions,10,,,,,,10,,,,
8/17/2014,Total no. currently in Treatment Units,207,,,,,,98,,109,,
8/17/2014,Total discharges,0,,,,,,32,,,,
8/17/2014,Cumulative admission/isolation,207,,,,,,98,,109,,
8/17/2014,Newly Reported Cases in HCW,,,,,,,,,,,
8/17/2014,Cumulative cases among HCW,93,4,24,3,3,,17,4,37,1,
8/17/2014,Newly Reported deaths in HCW,,,,,,,,,,,
8/17/2014,Cumulative deaths among HCW,42,4,4,,,,13,1,20,,
8/17/2014,New Case/s (Suspected),14,,1,,,,,8,5,,
8/17/2014,New Case/s (Probable),10,,,,,,10,,,,
8/17/2014,New case/s (confirmed),0,,,,,,,,,,
8/17/2014,Total suspected cases,212,4,46,8,1,1,61,24,56,11,
8/17/2014,Total probable cases,442,28,25,1,3,,240,4,134,7,
8/17/2014,Total confirmed cases,208,9,18,6,4,,118,2,43,7,1
8/17/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,,,,2,,11,,,,
8/17/2014,Total Number of Confirmed Cases of Guinean Nationality,,,,,,,,,,,
