Date,Variable,National,Bomi County,Bong County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,RiverCess County,Sinoe County
8/20/14,Specimens collected,41,,2,,,,38,,,1,,
8/20/14,Specimens pending for testing,99,,8,2,1,,38,4,16,30,,
8/20/14,Total specimens tested,19,,,,,,19,,,,,
8/20/14,Newly reported deaths,23,,3,,,,7,3,7,3,,
8/20/14,Total death/s in confirmed cases,216,8,10,1,4,,101,23,62,7,,
8/20/14,Total death/s in probable cases,265,6,11,1,1,,100,26,99,20,1,
8/20/14,Total death/s in suspected cases,132,,13,,2,1,34,19,57,6,,
8/20/14,"Total death/s in confirmed, probable, suspected cases",613,14,34,2,7,1,235,68,218,33,1,
8/20/14,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,
8/20/14,Newly reported contacts,196,,39,,,,31,31,78,17,,
8/20/14,Total contacts listed,2643,64,339,10,31,,552,137,1306,198,6,
8/20/14,Currently under follow-up,1723,54,241,10,27,,415,114,718,140,4,
8/20/14,Contacts seen,1536,,165,,27,,415,114,675,140,,
8/20/14,Contacts who completed 21 day follow-up,115,,,,,,43,,4,68,,
8/20/14,Contacts lost to follow-up,,,,,,,,,,,,
8/20/14,New admissions,15,,,,,,15,,,,,
8/20/14,Total no. currently in Treatment Units,82,,,,,,82,,,,,
8/20/14,Total discharges,7,,,,,,7,,,,,
8/20/14,Cumulative admission/isolation,82,,,,,,82,,,,,
8/20/14,Newly Reported Cases in HCW,,,,,,,,,,,,
8/20/14,Cumulative cases among HCW,115,4,24,3,3,,17,23,40,1,,
8/20/14,Newly Reported deaths in HCW,3,,1,,,,2,,,,,
8/20/14,Cumulative deaths among HCW,61,4,5,,,,15,16,21,,,
8/20/14,New Case/s (Suspected),20,,7,,,,1,3,9,,,
8/20/14,New Case/s (Probable),27,,,,,,14,4,7,2,,
8/20/14,New case/s (confirmed),18,,,,,,18,,,,,
8/20/14,Total suspected cases,259,4,61,8,1,1,62,27,83,12,,
8/20/14,Total probable cases,552,28,29,1,3,,260,32,162,37,,
8/20/14,Total confirmed cases,263,9,20,6,4,,144,27,43,8,1,1
8/20/14,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,,,,2,,11,,,,,
8/20/14,Total Number of Confirmed Cases of Guinean Nationality,,,,,,,,,,,,
