Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Lofa County,Margibi County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
9/3/2014,Specimens collected,10,0,3,0,0,0,0,7,0,0,0,0,0,0
9/3/2014,Specimens pending for testing,15,3,3,0,0,0,0,7,0,0,1,1,0,0
9/3/2014,Total specimens tested,18,0,0,0,0,0,0,18,0,0,0,0,0,0
9/3/2014,Newly reported deaths,27,0,2,0,0,1,0,7,0,14,3,0,0,0
9/3/2014,Total death/s in confirmed cases,425,19,11,0,13,4,0,148,25,178,27,0,0,0
9/3/2014,Total death/s in probable cases,399,15,13,0,3,3,0,145,49,133,37,0,1,0
9/3/2014,Total death/s in suspected cases,254,0,19,0,3,3,2,34,37,140,11,5,0,0
9/3/2014,"Total death/s in confirmed, probable, suspected cases",1078,34,43,0,19,10,2,327,111,451,75,5,1,0
9/3/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,
9/3/2014,Newly reported contacts,166,9,17,0,0,0,0,0,0,87,53,0,0,0
9/3/2014,Total contacts listed,5935,140,493,0,61,30,0,760,951,3103,382,9,6,0
9/3/2014,Currently under follow-up,3334,41,311,0,61,25,0,212,860,1613,198,9,4,0
9/3/2014,Contacts seen,3235,41,311,0,61,10,0,212,860,1542,198,0,0,0
9/3/2014,Contacts who completed 21 day follow-up,231,0,0,0,0,19,0,34,0,178,0,0,0,0
9/3/2014,Contacts lost to follow-up,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9/3/2014,New admissions,20,0,0,0,0,0,0,0,0,20,0,0,0,0
9/3/2014,Total no. currently in Treatment Units,279,0,0,0,0,0,0,62,0,217,0,0,0,0
9/3/2014,Total discharges,15,0,0,0,0,0,0,6,0,9,0,0,0,0
9/3/2014,Cumulative admission/isolation,279,0,0,0,0,0,0,62,0,217,0,0,0,0
9/3/2014,Newly Reported Cases in HCW,2,0,0,0,0,0,0,0,0,2,0,0,0,0
9/3/2014,Cumulative cases among HCW,153,5,26,0,3,3,0,20,32,61,3,0,0,0
9/3/2014,Newly Reported deaths in HCW,2,0,0,0,0,0,0,0,0,2,0,0,0,0
9/3/2014,Cumulative deaths among HCW,76,4,5,0,1,0,0,17,19,30,0,0,0,0
9/3/2014,New Case/s (Suspected),13,0,2,0,0,0,0,0,0,8,3,0,0,0
9/3/2014,New Case/s (Probable),3,1,1,0,0,1,0,0,0,0,0,0,0,0
9/3/2014,New case/s (confirmed),8,0,0,0,0,0,0,8,0,0,0,0,0,0
9/3/2014,Total suspected cases,369,1,85,1,21,2,3,53,126,50,20,6,0,1
9/3/2014,Total probable cases,886,32,41,0,12,5,0,345,89,309,50,3,0,0
9/3/2014,Total confirmed cases,608,31,24,0,13,4,0,238,30,225,41,0,1,1
9/3/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,2,0,11,0,0,0,0,0,0
9/3/2014,Total Number of Confirmed Cases of Guinean Nationality,1,0,0,0,0,0,0,0,0,1,0,0,0,0
