Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
10/1/2014,Specimens collected,,,,,,,,,,,,,,,,
10/1/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
10/1/2014,Total specimens tested,,,,,,,,,,,,,,,,
10/1/2014,Newly reported deaths,22,0,0,0,4,0,0,2,0,0,0,16,0,0,0,0
10/1/2014,Total death/s in confirmed cases,943,30,14,0,21,6,0,5,191,41,0,581,49,0,3,2
10/1/2014,Total death/s in probable cases,681,33,21,0,9,3,0,4,202,126,5,203,72,0,3,0
10/1/2014,Total death/s in suspected cases,458,5,79,0,7,5,2,4,38,80,3,213,14,6,2,0
10/1/2014,"Total death/s in confirmed, probable, suspected cases",2082,68,114,0,37,14,2,13,431,247,8,997,135,6,8,2
10/1/2014,Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,,,,,,,,,,
10/1/2014,Newly reported contacts,220,96,11,0,5,0,0,0,0,0,0,108,0,0,0,0
10/1/2014,Total contacts listed,14481,638,851,0,322,80,20,38,699,2684,6,8115,840,19,91,78
10/1/2014,Currently under follow-up,6670,449,217,0,220,77,20,7,325,1775,6,2997,451,4,44,78
10/1/2014,Contacts seen,3806,447,217,0,220,0,0,0,0,0,0,2922,0,0,0,0
10/1/2014,Contacts who completed 21 day follow-up,522,189,14,0,0,0,0,0,0,37,0,282,0,0,0,0
10/1/2014,Contacts lost to follow-up,21,2,0,0,0,0,0,0,0,15,0,4,0,0,0,0
10/1/2014,New admissions,55,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0
10/1/2014,Total no. currently in Treatment Units,421,6,20,0,9,0,0,0,0,0,0,385,0,0,0,1
10/1/2014,Total discharges,93,4,2,0,0,0,0,0,0,0,0,86,0,0,0,1
10/1/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
10/1/2014,Newly Reported Cases in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2014,Cumulative cases among HCW,186,6,26,0,3,3,0,0,22,42,0,75,9,0,0,0
10/1/2014,Newly Reported deaths in HCW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2014,Cumulative deaths among HCW,92,5,7,0,1,0,0,0,18,20,0,33,8,0,0,0
10/1/2014,New Case/s (Suspected),24,0,4,0,1,0,0,2,0,0,0,17,0,0,0,0
10/1/2014,New Case/s (Probable),0,0,4,0,0,0,0,0,0,0,0,18,1,0,0,0
10/1/2014,New case/s (confirmed),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2014,Total suspected cases,1219,7,205,1,38,6,3,6,57,284,3,554,34,12,3,6
10/1/2014,Total probable cases,1745,47,72,0,43,5,0,8,449,326,5,648,134,4,3,1
10/1/2014,Total confirmed cases,926,33,68,0,47,6,0,6,284,39,0,356,77,2,4,4
10/1/2014,Total Number of Confirmed Cases of Sierra Leonean Nationality,13,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0
10/1/2014,Total Number of Confirmed Cases of Guinean Nationality,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
