Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County,
12/1/2014,Specimens collected,,,,,,,,,,,,,,,,,
12/1/2014,Specimens pending for testing,,,,,,,,,,,,,,,,,
12/1/2014,Total specimens tested,,,,,,,,,,,,,,,,,
12/1/2014,Newly reported deaths,,,,,,,,,,,,,,,,,
12/1/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,,
12/1/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,,
12/1/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,,
12/1/2014,"Total death/s in confirmed, 
 probable, suspected cases",3161,158,124,10,63,74,5,26,384,549,17,1651,53,8,25,14,
12/1/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,,
12/1/2014,Newly reported contacts,263,0,16,0,11,19,0,0,0,34,0,181,0,0,0,2,
12/1/2014,Total contacts listed,,,,,,,,,,,,,,,,,
12/1/2014,Currently under follow-up,6101,142,218,8,50,410,1,72,66,1729,27,3297,0,0,0,81,
12/1/2014,Contacts seen,5941,142,218,8,55,402,1,60,66,1613,27,3291,0,0,0,58,
12/1/2014,"Contacts who completed 21 day 
 follow-up",859,0,9,5,23,7,0,0,0,499,46,264,0,0,6,0,
12/1/2014,Contacts lost to follow-up,93,0,0,0,2,1,0,12,0,17,0,0,0,0,0,23,
12/1/2014,New admissions,12,0,2,0,0,0,0,0,0,1,0,9,0,0,0,0,
12/1/2014,"Total no. currently in Treatment 
 Units",149,5,11,0,0,0,0,0,0,20,0,105,8,0,0,0,
12/1/2014,Total discharges,6,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,
12/1/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,,
12/1/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,,
12/1/2014,Cumulative cases among HCW,,,,,,,,,,,,,,,,,
12/1/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,,,,
12/1/2014,Cumulative deaths among HCW,,,,,,,,,,,,,,,,,
12/1/2014,New Case/s (Suspected),25,0,3,0,2,,2,0,0,0,5,0,12,0,0,0,1
12/1/2014,New Case/s (Probable),9,0,0,0,1,,0,0,0,0,1,0,7,0,0,0,0
12/1/2014,New case/s (confirmed),1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0
12/1/2014,Total suspected cases,3059,84,391,25,43,45,8,14,171,415,15,1735,80,7,9,17,
12/1/2014,Total probable cases,1793,73,32,3,65,38,0,17,149,478,2,784,128,5,16,3,
12/1/2014,Total confirmed cases,2823,135,135,10,38,57,2,4,325,360,4,1595,114,7,19,18,
12/1/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,,
12/1/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,,
12/1/2014,"Cumulative confirmed, probable and suspected cases",7675,292,558,38,146,140,10,35,645,1253,21,4114,322,19,44,38,
