Date,Variable,National,Bomi County,Bong County,Gbarpolu County,Grand Bassa,Grand Cape Mount,Grand Gedeh,Grand Kru,Lofa County,Margibi County,Maryland County,Montserrado County,Nimba County,River Gee County,RiverCess County,Sinoe County
12/9/2014,Specimens collected,,,,,,,,,,,,,,,,
12/9/2014,Specimens pending for testing,,,,,,,,,,,,,,,,
12/9/2014,Total specimens tested,,,,,,,,,,,,,,,,
12/9/2014,Newly reported deaths,,,,,,,,,,,,,,,,
12/9/2014,Total death/s in confirmed cases,,,,,,,,,,,,,,,,
12/9/2014,Total death/s in probable cases,,,,,,,,,,,,,,,,
12/9/2014,Total death/s in suspected cases,,,,,,,,,,,,,,,,
12/9/2014,"Total death/s in confirmed, 
 probable, suspected cases",3290,158,125,10,70,87,5,27,384,557,19,1747,53,8,26,14
12/9/2014,"Case Fatality Rate (CFR) - 
 Confirmed & Probable Cases",,,,,,,,,,,,,,,,
12/9/2014,Newly reported contacts,,,,,,,,,,,,,,,,
12/9/2014,Total contacts listed,,,,,,,,,,,,,,,,
12/9/2014,Currently under follow-up,,,,,,,,,,,,,,,,
12/9/2014,Contacts seen,,,,,,,,,,,,,,,,
12/9/2014,"Contacts who completed 21 day 
 follow-up",,,,,,,,,,,,,,,,
12/9/2014,Contacts lost to follow-up,,,,,,,,,,,,,,,,
12/9/2014,New admissions,,,,,,,,,,,,,,,,
12/9/2014,"Total no. currently in Treatment 
 Units",,,,,,,,,,,,,,,,
12/9/2014,Total discharges,,,,,,,,,,,,,,,,
12/9/2014,Cumulative admission/isolation,,,,,,,,,,,,,,,,
12/9/2014,Newly Reported Cases in HCW,,,,,,,,,,,,,,,,
12/9/2014,Cumulative cases among HCW,,,,,,,,,,,,,,,,
12/9/2014,Newly Reported deaths in HCW,,,,,,,,,,,,,,,,
12/9/2014,Cumulative deaths among HCW,,,,,,,,,,,,,,,,
12/9/2014,New Case/s (Suspected),3050,82,390,26,45,47,8,14,171,409,17,1726,78,7,9,21
12/9/2014,New Case/s (Probable),1801,74,32,3,70,50,0,18,148,163,2,194,128,4,12,3
12/9/2014,New case/s (confirmed),2946,137,135,10,43,68,2,4,326,383,4,1676,114,7,20,16
12/9/2014,Total suspected cases,,,,,,,,,,,,,,,,
12/9/2014,Total probable cases,,,,,,,,,,,,,,,,
12/9/2014,Total confirmed cases,,,,,,,,,,,,,,,,
12/9/2014,"Total Number of Confirmed Cases 
 of Sierra Leonean Nationality",,,,,,,,,,,,,,,,
12/9/2014,"Total Number of Confirmed Cases 
 of Guinean Nationality",,,,,,,,,,,,,,,,
12/9/2014,"Cumulative confirmed, probable and suspected cases",7797,293,557,39,158,165,10,36,645,1255,23,4196,320,19,41,40
