date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police traning School
2014-09-28,population,"465,048","653,013","325,003","341,690","335,471","494,139","434,937","557,978","335,574","654,142","278,119","168,729","1,040,888","263,619","6,348,350",,,
2014-09-28,new_noncase,0,11,0,0,1,11,4,19,1,2,0,0,14,9,72,,,
2014-09-28,new_suspected,0,2,0,0,0,2,6,4,0,0,0,0,4,1,19,,,
2014-09-28,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-09-28,new_confirmed,0,0,0,2,0,4,9,39,3,2,0,0,11,20,90,,,
2014-09-28,cum_noncase,280,596,35,5,28,108,44,110,5,90,42,1,326,129,1799,,,
2014-09-28,cum_suspected,18,35,40,1,0,10,10,14,1,19,12,2,18,10,190,,,
2014-09-28,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,
2014-09-28,cum_confirmed,529,426,18,14,0,227,74,270,19,91,55,1,218,148,2090,,,
2014-09-28,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,
2014-09-28,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,
2014-09-28,death_confirmed,212,232,2,1,0,12,5,17,3,17,7,1,9,4,522,,,
2014-09-28,cfr,40.1,54.5,0,7.1,0,5.3,6.8,6.3,15.8,18.7,12.7,100,4.1,2.7,25,,,
2014-09-28,etc_new_admission,,,,,,,,,,,,,,,16,,,
2014-09-28,etc_currently_admitted,,,,,,,,,,,,,,,106,,,
2014-09-28,etc_cum_admission,,,,,,,,,,,,,,,1269,,,
2014-09-28,etc_new_deaths,,,,,,,,,,,,,,,4,,,
2014-09-28,etc_cum_deaths,,,,,,,,,,,,,,,502,,,
2014-09-28,etc_new_discharges,,,,,,,,,,,,,,,2,,,
2014-09-28,etc_cum_discharges,,,,,,,,,,,,,,,434,,,
2014-09-28,cum_contacts,1606,2803,282,204,,1087,1450,2577,487,836,420,87,1310,538,13687,,,
2014-09-28,cum_completed_contacts,1169,2326,140,33,,760,237,500,264,661,221,87,642,153,7193,,,
2014-09-28,contacts_followed,167,477,142,162,,327,1213,2077,223,175,199,0,668,385,6215,,,
2014-09-28,new_contacts,0,0,0,0,,24,19,75,0,131,45,0,0,0,294,,,
2014-09-28,contacts_healthy,167,477,128,162,,310,1213,1987,223,174,198,0,409,374,5822,,,
2014-09-28,contacts_ill,0,0,14,0,,13,0,12,0,1,1,0,5,0,46,,,
2014-09-28,contacts_not_seen,0,0,0,0,,4,0,74,0,0,0,0,254,11,343,,,
2014-09-28,new_completed_contacts,30,9,0,0,,31,0,0,14,0,0,0,4,0,88,,,
2014-09-28,percent_seen,100%,98%,99%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,100%,98%,,,
