date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Kenema (IFRC),34 Military Hospital,Police training School,Bo EMC
2014-09-29,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,,,,
2014-09-29,new_noncase,0,6,5,1,1,1,1,11,0,5,0,0,9,12,52,,,,
2014-09-29,new_suspected,0,1,1,0,0,2,1,3,0,0,0,0,14,3,25,,,,
2014-09-29,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-09-29,new_confirmed,0,1,2,4,0,0,4,24,0,0,0,0,13,17,65,,,,
2014-09-29,cum_noncase,280,602,40,6,29,109,45,121,5,95,42,1,335,141,1851,,,,
2014-09-29,cum_suspected,18,36,41,1,0,12,11,17,1,19,12,2,32,13,215,,,,
2014-09-29,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,,
2014-09-29,cum_confirmed,529,427,20,18,0,227,78,294,19,91,55,1,231,165,2155,,,,
2014-09-29,death_suspected,4,4,1,0,0,0,0,1,0,0,0,0,1,0,11,,,,
2014-09-29,death_probable,35,0,0,0,0,0,0,1,0,0,0,0,1,0,37,,,,
2014-09-29,death_confirmed,215,232,2,1,0,13,5,17,4,17,7,1,9,4,527,,,,
2014-09-29,cfr,40.6,54.3,0,5.6,0,5.7,6.4,5.8,21.1,18.7,12.7,100,3.9,2.4,24.5,,,,
2014-09-29,etc_new_admission,9,0,,,,,,,,,,,,,,6,,,2
2014-09-29,etc_currently_admitted,53,15,,,,,,,,,,,,,,18,,,19
2014-09-29,etc_cum_admission,705,504,,,,,,,,,,,,,,40,,,37
2014-09-29,etc_new_deaths,3,0,,,,,,,,,,,,,,2,,,0
2014-09-29,etc_cum_deaths,231,252,,,,,,,,,,,,,,15,,,9
2014-09-29,etc_new_discharges,2,0,,,,,,,,,,,,,,0,,,1
2014-09-29,etc_cum_discharges,135,294,,,,,,,,,,,,,,7,,,1
2014-09-29,cum_contacts,1733,2804,285,310,,1118,1465,2632,487,846,443,102,1315,664,14204,,,,
2014-09-29,cum_completed_contacts,1204,2503,140,37,,319,352,500,264,661,246,87,680,173,7166,,,,
2014-09-29,contacts_followed,529,301,145,173,,799,1113,2132,223,185,197,15,635,491,6938,,,,
2014-09-29,new_contacts,15,0,0,106,,31,15,65,0,10,0,15,5,126,388,,,,
2014-09-29,contacts_healthy,529,397,128,173,,789,1113,2013,223,185,196,15,563,451,6775,,,,
2014-09-29,contacts_ill,0,0,17,0,,8,0,0,0,0,1,0,3,2,31,,,,
2014-09-29,contacts_not_seen,0,4,0,0,,2,0,117,0,0,0,0,69,38,230,,,,
2014-09-29,new_completed_contacts,0,60,0,4,,0,115,0,0,0,0,0,38,20,237,,,,
2014-09-29,percent_seen,100%,98%,99%,100%,,98%,100%,98%,100%,100%,100%,100%,100%,100%,98%,,,,
