date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-10-04,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-10-04,new_noncase,1,0,0,1,0,7,6,3,0,0,2,0,29,7,56
2014-10-04,new_suspected,0,3,0,0,0,15,0,1,0,1,0,0,1,1,22
2014-10-04,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-04,new_confirmed,1,0,0,0,0,38,0,8,1,10,6,0,14,3,81
2014-10-04,cum_noncase,282,615,45,7,30,131,54,137,5,102,49,1,414,169,2041
2014-10-04,cum_suspected,18,46,43,3,0,34,13,19,2,24,18,2,36,21,279
2014-10-04,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37
2014-10-04,cum_confirmed,531,431,23,21,0,294,86,340,22,106,66,1,290,200,2411
2014-10-04,death_suspected,4,4,2,0,0,13,3,1,0,2,0,0,1,0,30
2014-10-04,death_probable,35,0,19,0,0,7,17,1,0,43,0,0,1,0,123
2014-10-04,death_confirmed,216,232,18,1,0,87,28,18,6,49,8,1,9,5,678
2014-10-04,cfr,41,54,0,5,0,30,33,5,27,46,12,100,3,3,28
2014-10-04,etc_new_admission,,,,,,,,,,,,,,,18
2014-10-04,etc_currently_admitted,,,,,,,,,,,,,,,202
2014-10-04,etc_cum_admission,,,,,,,,,,,,,,,1506
2014-10-04,etc_new_deaths,,,,,,,,,,,,,,,10
2014-10-04,etc_cum_deaths,,,,,,,,,,,,,,,582
2014-10-04,etc_new_discharges,,,,,,,,,,,,,,,9
2014-10-04,etc_cum_discharges,,,,,,,,,,,,,,,477
2014-10-04,cum_contacts,1835,2818,427,361,,1314,1808,2859,537,887,488,105,1468,1004,15911
2014-10-04,cum_completed_contacts,1275,2549,140,50,,361,462,534,284,661,246,90,754,328,7734
2014-10-04,contacts_followed,615,276,287,311,,953,1346,2325,253,226,242,15,714,676,8239
2014-10-04,new_contacts,14,0,0,0,,69,44,8,0,0,0,0,0,0,135
2014-10-04,contacts_healthy,614,276,271,311,,940,1346,2313,253,224,242,15,700,170,7675
2014-10-04,contacts_ill,1,0,16,0,,13,0,1,0,2,0,0,4,0,37
2014-10-04,contacts_not_seen,0,0,0,0,,0,0,11,0,0,0,0,10,6,27
2014-10-04,new_completed_contacts,55,0,0,0,,0,0,0,0,0,0,0,0,0,55
2014-10-04,percent_seen,100%,99%,98%,100%,,98%,100%,98%,100%,99%,100%,100%,100%,100%,98%
