date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area
2014-10-12,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,1304507
2014-10-12,new_noncase,1,9,0,0,1,19,0,1,0,0,1,0,,,60,28
2014-10-12,new_suspected,0,4,0,0,0,3,0,0,0,0,0,0,,,8,1
2014-10-12,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
2014-10-12,new_confirmed,2,10,0,1,0,19,0,7,0,0,2,0,,,57,16
2014-10-12,cum_noncase,284,685,67,10,31,206,60,147,6,123,57,1,,,2476,799
2014-10-12,cum_suspected,18,48,52,3,0,57,23,21,3,34,22,2,,,366,83
2014-10-12,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,,,37,1
2014-10-12,cum_confirmed,535,447,31,25,0,388,127,405,24,125,77,1,,,2849,664
2014-10-12,death_suspected,4,4,2,6,0,13,3,49,3,2,5,1,,,100,8
2014-10-12,death_probable,35,0,19,9,0,7,17,1,2,43,19,1,,,157,4
2014-10-12,death_confirmed,219,238,18,9,0,120,34,57,12,53,27,1,,,926,138
2014-10-12,cfr,41,53,58,36,0,31,27,14,50,42,35,100,,,33,43
2014-10-12,etc_new_admission,4,0,,,,,,,,,,,,,15,
2014-10-12,etc_currently_admitted,53,0,,,,,,,,,,,,,210,
2014-10-12,etc_cum_admission,814,504,,,,,,,,,,,,,1703,
2014-10-12,etc_new_deaths,0,0,,,,,,,,,,,,,2,
2014-10-12,etc_cum_deaths,238,254,,,,,,,,,,,,,625,
2014-10-12,etc_new_discharges,1,0,,,,,,,,,,,,,3,
2014-10-12,etc_cum_discharges,172,307,,,,,,,,,,,,,563,
2014-10-12,cum_contacts,2030,2902,523,412,0,2065,1940,3309,949,967,765,105,1933,1288,19188,
2014-10-12,cum_completed_contacts,1578,2632,191,86,0,457,591,562,469,661,464,90,985,710,9476,
2014-10-12,contacts_followed,452,235,330,326,0,1608,1349,2747,380,306,301,15,948,578,9575,
2014-10-12,new_contacts,6,10,54,0,0,41,59,0,270,80,114,0,28,2,664,
2014-10-12,contacts_healthy,449,234,325,325,0,1599,1349,2747,380,298,301,15,859,499,9380,
2014-10-12,contacts_ill,3,1,5,1,0,6,0,0,0,0,0,0,0,1,17,
2014-10-12,contacts_not_seen,0,0,0,0,0,3,0,0,0,8,0,0,89,79,179,
2014-10-12,new_completed_contacts,0,12,0,0,0,0,27,0,135,0,0,0,18,0,192,
2014-10-12,percent_seen,100%,99%,98%,100%,0,98%,100%,100%,100%,100%,100%,100%,98%,98%,98%,
