date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area,Kenema (KGH),Kenema (IFRC),Hastings-F/Town
2014-10-21,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,,,6348350,,,,
2014-10-21,new_noncase,2,7,0,3,2,12,0,15,1,7,0,0,11,2,62,,,,
2014-10-21,new_suspected,0,2,0,0,0,0,0,1,0,2,0,0,0,0,5,,,,
2014-10-21,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2014-10-21,new_confirmed,1,1,0,3,0,4,0,20,0,9,0,0,8,4,50,,,,
2014-10-21,cum_noncase,299,725,80,17,38,256,74,185,11,153,71,2,705,320,2936,,,,
2014-10-21,cum_suspected,18,71,54,4,4,74,25,23,6,52,25,3,63,37,459,,,,
2014-10-21,cum_probable,32,0,1,0,0,1,0,1,0,1,0,0,1,0,37,,,,
2014-10-21,cum_confirmed,550,475,34,29,5,470,157,480,25,158,86,2,504,370,3345,,,,
2014-10-21,death_suspected,4,4,2,6,0,18,3,49,3,3,6,1,6,4,109,,,,
2014-10-21,death_probable,35,0,19,9,0,14,17,1,2,43,19,1,2,2,164,,,,
2014-10-21,death_confirmed,221,247,18,9,0,131,42,70,12,59,33,1,81,77,1001,,,,
2014-10-21,cfr,40.2,52,52.9,31.0,0,27.9,26.8,14.6,48.0,37.3,38.4,50.0,16.1,20.8,29.9,,,,
2014-10-21,etc_new_admission,8,,,,,,,,,2,,,,,28,,,4,14
2014-10-21,etc_currently_admitted,39,,,,,,,,,28,,,,,188,,0,30,91
2014-10-21,etc_cum_admission,867,,,,,,,,,95,,,,,1898,,504,130,302
2014-10-21,etc_new_deaths,1,,,,,,,,,2,,,,,8,,,2,3
2014-10-21,etc_cum_deaths,242,,,,,,,,,29,,,,,664,,254,55,84
2014-10-21,etc_new_discharges,2,,,,,,,,,0,,,,,47,,,0,45
2014-10-21,etc_cum_discharges,205,,,,,,,,,38,,,,,710,,307,36,124
2014-10-21,cum_contacts,2263,2980,560,442,58,2230,2534,4687,964,979,901,125,2816,2026,23565,,,,
2014-10-21,cum_completed_contacts,1768,2647,235,377,0,529,781,636,669,661,524,105,1550,1273,11755,,,,
2014-10-21,contacts_followed,495,333,352,64,55,1701,1753,4051,294,318,377,20,1266,753,11805,,,,
2014-10-21,new_contacts,18,35,0,0,0,18,0,21,0,29,0,20,78,107,326,,,,
2014-10-21,contacts_healthy,495,285,310,64,55,1690,1753,4007,294,317,377,20,1061,701,11429,,,,
2014-10-21,contacts_ill,0,0,13,0,3,7,0,18,0,1,0,0,2,2,46,,,,
2014-10-21,contacts_not_seen,0,42,0,0,0,4,0,26,0,0,0,0,205,52,329,,,,
2014-10-21,new_completed_contacts,0,6,0,27,0,0,56,0,0,0,24,15,61,0,189,,,,
2014-10-21,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,,,,
