date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined
2014-11-06,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507
2014-11-06,new_noncase,0,12,0,0,0,10,13,0,1,0,0,0,9,3,48,
2014-11-06,new_suspected,0,2,0,0,1,0,0,1,0,0,0,0,3,0,7,
2014-11-06,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-06,new_confirmed,0,0,0,0,6,6,12,2,0,0,0,0,10,5,41,
2014-11-06,cum_noncase,312,880,91,30,50,396,126,273,13,246,93,3,924,470,3907,
2014-11-06,cum_suspected,18,98,61,10,13,85,41,59,10,75,33,3,94,51,651,
2014-11-06,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,
2014-11-06,cum_confirmed,555,493,42,50,44,632,241,565,28,184,118,2,715,563,4232,
2014-11-06,death_suspected,4,4,2,6,0,22,4,74,3,8,9,1,8,12,157,
2014-11-06,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,
2014-11-06,death_confirmed,228,256,18,13,12,149,55,87,16,61,33,1,98,87,1114,
2014-11-06,cfr,41.1,51.9,42.9,26.0,27.3,23.6,22.8,15.4,57.1,33.2,28.0,50.0,13.7,15.5,26.3,
2014-11-06,etc_new_admission,15,,,,,,,,,9,,,,,24,
2014-11-06,etc_currently_admitted,47,,,,,,,,,46,,,,,217,
2014-11-06,etc_cum_admission,1006,,,,,,,,,114,,,,,2187,
2014-11-06,etc_new_deaths,1,,,,,,,,,1,,,,,3,
2014-11-06,etc_cum_deaths,252,,,,,,,,,32,,,,,726,
2014-11-06,etc_new_discharges,6,,,,,,,,,4,,,,,10,
2014-11-06,etc_cum_discharges,257,,,,,,,,,48,,,,,831,
2014-11-06,cum_contacts,2653,3170,735,651,255,2625,2805,6987,1103,1124,1157,125,5959,3772,33121,
2014-11-06,cum_completed_contacts,2184,2761,359,189,8,1681,1177,947,961,911,845,125,3522,1887,17557,
2014-11-06,contacts_followed,469,298,382,462,247,944,1628,6040,135,213,312,0,2282,1780,15192,
2014-11-06,new_contacts,108,0,0,0,147,0,0,287,0,0,31,0,101,39,713,
2014-11-06,contacts_healthy,469,298,374,457,247,934,1628,5982,135,213,312,0,1712,1735,14496,
2014-11-06,contacts_ill,0,0,8,5,0,4,0,17,0,0,0,0,3,4,41,
2014-11-06,contacts_not_seen,0,0,0,0,0,6,0,41,0,0,0,0,466,2,515,
2014-11-06,new_completed_contacts,2,19,6,0,0,0,0,36,0,63,0,20,166,20,332,
2014-11-06,percent_seen,100%,99%,98%,100%,99%,98%,100%,98%,100%,100%,100%,100%,98%,98%,98%,
2014-11-06,total_lab_samples,,,,,,,,,,,,,,,153,
2014-11-06,repeat_samples,,,,,,,,,,,,,,,57,
2014-11-06,new_samples,,,,,,,,,,,,,,,96,
2014-11-06,new_positive,,,,,,,,,,,,,,,41,
2014-11-06,new_negative,,,,,,,,,,,,,,,48,
2014-11-06,pending,,,,,,,,,,,,,,,7,
2014-11-06,positive_corpse,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,
2014-11-06,negative_corpse,0,12,0,0,0,2,4,0,0,0,0,0,5,0,23,
