date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National
2014-11-13,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350
2014-11-13,new_noncase,,,,,,,,,,,,,,,
2014-11-13,new_suspected,,,,,,,,,,,,,,,
2014-11-13,new_probable,,,,,,,,,,,,,,,
2014-11-13,new_confirmed,0,0,8,0,13,8,9,19,0,4,0,0,15,8,84
2014-11-13,cum_noncase,,,,,,,,,,,,,,,
2014-11-13,cum_suspected,,,,,,,,,,,,,,,882
2014-11-13,cum_probable,,,,,,,,,,,,,,,79
2014-11-13,cum_confirmed,558,493,53,56,68,686,297,683,28,207,141,2,893,663,4828
2014-11-13,death_suspected,,,,,,,,,,,,,,,157
2014-11-13,death_probable,,,,,,,,,,,,,,,208
2014-11-13,death_confirmed,,,,,,,,,,,,,,,1180
2014-11-13,cfr,,,,,,,,,,,,,,,
2014-11-13,etc_new_admission,,,,,,,,,,,,,,,
2014-11-13,etc_currently_admitted,,,,,,,,,,,,,,,
2014-11-13,etc_cum_admission,,,,,,,,,,,,,,,
2014-11-13,etc_new_deaths,,,,,,,,,,,,,,,
2014-11-13,etc_cum_deaths,,,,,,,,,,,,,,,
2014-11-13,etc_new_discharges,,,,,,,,,,,,,,,
2014-11-13,etc_cum_discharges,,,,,,,,,,,,,,,
2014-11-13,cum_contacts,,,,,,,,,,,,,,,
2014-11-13,cum_completed_contacts,,,,,,,,,,,,,,,
2014-11-13,contacts_followed,,,,,,,,,,,,,,,
2014-11-13,new_contacts,,,,,,,,,,,,,,,
2014-11-13,contacts_healthy,,,,,,,,,,,,,,,
2014-11-13,contacts_ill,,,,,,,,,,,,,,,
2014-11-13,contacts_not_seen,,,,,,,,,,,,,,,
2014-11-13,new_completed_contacts,,,,,,,,,,,,,,,
2014-11-13,percent_seen,,,,,,,,,,,,,,,
2014-11-13,total_lab_samples,,,,,,,,,,,,,,,
2014-11-13,repeat_samples,,,,,,,,,,,,,,,
2014-11-13,new_samples,,,,,,,,,,,,,,,
2014-11-13,new_positive,,,,,,,,,,,,,,,
2014-11-13,new_negative,,,,,,,,,,,,,,,
2014-11-13,pending,,,,,,,,,,,,,,,
2014-11-13,positive_corpse,,,,,,,,,,,,,,,
2014-11-13,negative_corpse,,,,,,,,,,,,,,,
