date,variable,Kailahun,Kenema,Kono,Kambia,Koinadugu,Bombali,Tonkolili,Port Loko,Pujehun,Bo,Moyamba,Bonthe,Western area urban,Western area rural,National,Western area combined,
2014-11-22,population,465048,653013,325003,341690,335471,494139,434937,557978,335574,654142,278119,168729,1040888,263619,6348350,1304507,
2014-11-22,new_noncase,0,6,0,0,1,15,1,0,0,12,6,7,34,25,107,,
2014-11-22,new_suspected,0,0,0,0,1,1,0,10,0,3,0,0,5,8,28,,
2014-11-22,new_probable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2014-11-22,new_confirmed,0,0,0,0,0,4,5,3,0,1,1,0,26,7,47,,
2014-11-22,cum_noncase,321,1021,119,50,64,601,199,577,18,422,186,20,1519,780,5897,,
2014-11-22,cum_suspected,18,100,73,12,19,103,68,165,10,99,48,6,222,111,1054,,
2014-11-22,cum_probable,32,0,1,0,32,6,4,1,0,1,1,0,1,0,79,,
2014-11-22,cum_confirmed,561,494,72,60,78,763,330,779,30,236,156,3,1082,758,5402,,
2014-11-22,death_suspected,4,5,2,6,0,22,4,74,3,8,9,1,8,12,158,,
2014-11-22,death_probable,35,0,19,9,32,19,21,1,2,43,20,1,4,2,208,,
2014-11-22,death_confirmed,228,261,27,18,22,183,71,124,16,68,38,2,153,122,1333,,
2014-11-22,cfr,40.6,52.8,37.5,30.0,28.2,24.0,21.5,15.9,53.3,28.8,24.4,66.7,14.1,16.1,24.7,,
2014-11-22,etc_new_admission,,,,,,,,,,,,,,,,,
2014-11-22,etc_currently_admitted,,,,,,,,,,,,,,,,,
2014-11-22,etc_cum_admission,,,,,,,,,,,,,,,,,
2014-11-22,etc_new_deaths,,,,,,,,,,,,,,,,,
2014-11-22,etc_cum_deaths,,,,,,,,,,,,,,,,,
2014-11-22,etc_new_discharges,,,,,,,,,,,,,,,,,
2014-11-22,etc_cum_discharges,,,,,,,,,,,,,,,,,
2014-11-22,cum_contacts,,,,,,,,,,,,,,,,,
2014-11-22,cum_completed_contacts,,,,,,,,,,,,,,,,,
2014-11-22,contacts_followed,,,,,,,,,,,,,,,,,
2014-11-22,new_contacts,,,,,,,,,,,,,,,,,
2014-11-22,contacts_healthy,,,,,,,,,,,,,,,,,
2014-11-22,contacts_ill,,,,,,,,,,,,,,,,,
2014-11-22,contacts_not_seen,,,,,,,,,,,,,,,,,
2014-11-22,new_completed_contacts,,,,,,,,,,,,,,,,,
2014-11-22,percent_seen,,,,,,,,,,,,,,,,,
2014-11-22,total_lab_samples,,,,,,,,,,,,,,,213,,
2014-11-22,repeat_samples,,,,,,,,,,,,,,,31,,
2014-11-22,new_samples,,,,,,,,,,,,,,,182,,
2014-11-22,new_positive,,,,,,,,,,,,,,,47,,
2014-11-22,new_negative,,,,,,,,,,,,,,,107,,
2014-11-22,pending,,,,,,,,,,,,,,,28,,
2014-11-22,positive_corpse,0,0,0,0,0,1,0,2,0,0,0,0,7,5,15,,
2014-11-22,negative_corpse,0,4,0,0,1,5,0,0,0,11,4,7,16,13,61,,
