,pitchid,pitcherid,yearid,throws,height,initspeed,breakx,breakz,initposx,initposz,extension,spinrate,type
0,1099,221958,2017,L,73,85.91806488,10.47699905,4.569405173,2.624393472,6.014679792999999,6.0777313610000006,1879.0504899999999,CU
1,12769,359178,2015,R,76,95.84948463,-5.245870001,9.259186982000001,-1.198956919,6.147276949,6.043080855,2357.1731870000003,CU
2,13530,359178,2015,R,76,95.19577536,-6.4087035189999995,10.68043967,-1.616718545,6.240630632999999,6.000527442,2482.156897,FB
3,4277,231932,2015,R,72,84.67892332,-9.222900142,-0.321988177,-1.877699491,5.295498633,6.21286266,1551.341539,SI
4,18090,231932,2015,R,72,81.09014272,-0.092655683,-4.127879641,-1.783400748,5.12980612,6.121559682000001,2109.758116,SL
5,6956,221958,2017,L,73,79.78396984,0.028981855,0.758816547,2.772347587,6.150049513,6.387129974,2330.364155,SL
6,11545,231932,2016,R,72,77.63805836,1.179882032,-3.794068395,-1.681802815,5.324238627,6.392282023,2225.464831,SL
7,4330,231932,2016,R,72,75.1699722,3.934261282,-1.309773284,-1.673696748,5.466500021,6.026943095,2173.356563,SL
8,17198,359178,2015,R,76,95.25383163,-7.111733632999999,9.244834572,-1.906163782,6.183977871000001,6.214352415,2209.964473,CU
9,14403,221958,2016,L,73,86.75756716,8.969867082,10.83765883,2.727215539,6.180637742,6.358297335,2134.184934,FB
10,5917,221958,2017,L,73,69.41146592,-7.0563951220000005,-4.14158337,2.628748889,6.197262723,6.551467797999999,2172.515657,CB
11,4169,231932,2017,R,72,79.86464769,-9.944393462,-3.1945037010000004,-1.662802092,5.382634776000001,6.64131828,1584.673157,SI
12,17466,465838,2016,L,74,90.94414328,7.399284542,6.25202894,1.593434199,6.187037642000001,6.1488391479999995,2089.695465,CU
13,4507,771155,2017,R,75,88.84758947,-5.668863113,8.626807398,-1.0060409559999999,6.065981132999999,6.3248545929999995,2149.670535,FB
14,2523,465838,2016,L,74,91.61032082,8.987066465,7.991481257,1.830390856,6.2626527979999995,5.8193950910000005,2117.678932,CU
15,755,231932,2015,R,72,81.63865856,0.2009829,-3.992324309,-1.713726494,5.225558585,6.049587459,2262.09127,SL
16,4760,231932,2015,R,72,91.80556703,-6.760132466,7.034743317999999,-1.548837245,5.489791337000001,6.017081565,2017.5207329999998,FB
17,9683,771155,2017,R,75,71.74246626,7.491147777,-5.13987088,-1.398143835,6.17206776,6.338631355,2457.4502850000003,CB
18,667,221958,2015,L,73,86.88965657,9.313569747,6.938291424,2.536520191,6.135902851,6.048724725,1924.940714,CU
19,11650,221958,2016,L,73,87.54140234,7.908528785,12.9122839,2.6495206000000002,6.2054968420000005,6.162059147999999,1980.7478800000001,FB
20,864,221958,2017,L,73,79.17481001,-0.019111771,2.254981491,2.449963139,6.427596072999999,6.110052897,2261.369682,SL
21,3814,221958,2016,L,73,77.09176388,0.9744885109999999,1.060297244,2.48037976,6.1932292570000005,6.064985325,2262.795652,SL
22,2050,771155,2017,R,75,86.39357534,-5.593770432,9.373921926,-1.229322686,6.120163213,6.300482742000001,2068.9026350000004,FB
23,247,221958,2017,L,73,89.53840786,8.673512459,10.88362703,2.658073322,6.184318493999999,6.199751902999999,2194.8684989999997,FB
24,2379,231932,2016,R,72,85.92910285,-6.411445105,4.0073527460000005,-1.656794424,5.455402254,6.531188834,1909.083457,FB
25,12393,231932,2015,R,72,89.03194814,-7.493273522999999,2.360219163,-1.626676596,5.464906063,5.999227287999999,1775.285091,CU
26,16761,221958,2016,L,73,78.46328023,2.59840155,2.2279791209999997,2.730842446,6.227241065,6.418344006,2258.699307,SL
27,16411,465838,2015,L,74,83.04223577,1.153616416,2.0641306630000003,1.6695892559999999,6.113244179,6.139758542999999,2240.678513,SL
28,3608,221958,2015,L,73,88.33497898,8.616380312,9.727375187,2.644799397,6.252718217999999,6.494433307,1885.158356,FB
29,238,231932,2015,R,72,89.83014162,-7.371871436,3.3881965710000004,-1.643637702,5.513056654,6.49076955,1958.5923050000001,CU
30,13225,221958,2017,L,73,87.85947163,8.862870605,11.01231515,2.473022398,6.401378666,5.981816822000001,1969.650304,CU
31,7144,359178,2015,R,76,87.34981586,-7.596673269,6.984488503,-1.419231085,6.1693993439999995,6.17565149,2064.6489899999997,SI
32,11138,221958,2015,L,73,78.97570516,8.622675696,6.494005392,2.740698973,6.241628865,6.115921926,1120.288056,SI
33,17022,231932,2016,R,72,75.80233909,1.083016526,-3.064569974,-1.8057072809999999,5.223799284,6.117271934,2182.5272410000002,SL
34,5285,231932,2017,R,72,79.25059715,-8.475932002999999,-0.5527943329999999,-1.5947589169999998,5.21482521,6.237058384,1567.0156259999999,SI
35,2287,359178,2015,R,76,94.21234975,-2.430562716,10.73780668,-1.4596707359999999,6.492517575,6.214229274,2367.882396,FB
36,9211,359178,2015,R,76,87.60554492,0.5581126999999999,1.9812116359999998,-1.517790645,6.184494197,6.162886686,2072.404302,SL
37,5347,359178,2015,R,76,94.05839335,-3.7506272139999997,11.1696254,-1.249954461,6.348236496,6.051289631,2360.461191,FB
38,5620,359178,2015,R,76,92.83012113,-7.551806131,8.164703242,-1.975721876,6.0781194329999995,5.861384973,2213.372163,CU
39,10151,221958,2015,L,73,79.00920054,10.57095315,2.731661737,2.5308894090000003,6.199392607999999,5.912397761,1252.900277,SI
40,10490,465838,2015,L,74,82.33199992,-1.503354224,-1.519733519,2.034061477,5.979903606000001,6.202002026000001,2187.2041510000004,SL
41,592,231932,2017,R,72,84.80692471,-9.710936251,1.3787537509999999,-1.8534189859999999,5.226427619,6.375940716000001,1892.491148,CU
42,4168,221958,2015,L,73,77.09083113,0.765228103,0.050412757,2.410534518,6.357051127999999,6.452795361000001,2305.9913100000003,SL
43,18699,221958,2016,L,73,85.39400349,8.363150903,9.039903933,2.539745886,6.262958518,5.684939128,1988.614671,CU
44,19366,221958,2017,L,73,67.97423729,-6.428703426,-3.5963735910000003,2.267262916,6.292393512,6.147958496,2032.420689,CB
45,17405,359178,2015,R,76,88.19320688,3.0862165669999997,0.801612531,-1.496461415,6.27234653,5.8034028829999995,2354.136366,SL
46,12980,465838,2015,L,74,82.00765938,0.763332362,-0.25079696100000004,2.156654644,5.9557543189999995,6.082800924,2399.019842,SL
47,8175,465838,2015,L,74,93.87323387,6.720087092999999,7.253466272000001,1.3853612119999998,6.091713502,6.083151335,2226.4303800000002,CU
48,5900,231932,2015,R,72,85.34810193,-7.756270485,1.682396139,-1.599516054,5.264929507,6.181412156,1403.852443,SI
49,5633,231932,2016,R,72,84.85203529,-6.157175702000001,7.449750657,-1.5670650419999999,5.601309944,6.360298466000001,1914.8231829999997,FB
50,12831,771155,2017,R,75,85.10011631,1.860174624,7.298722102,-1.206780585,5.970221362999999,5.847829312999999,2278.258061,CH
51,6273,221958,2016,L,73,85.50021717,8.470867508,8.640305632,2.541577274,6.170319703,6.260653327000001,1937.3035129999998,CU
