salary average obp runs hits doubles triples homeruns rbis walks sos sbs errors freeagent arbitration runsperso hitsperso hrsperso rbisperso walksperso obppererror runspererror hitspererror hrspererror soserrors sbsobp sbsruns sbshits
3300 0.272 0.302 69 153 21 4 31 104 22 80 4 4 1 0 0.8625 1.9125 0.3875 1.3 0.275 0.0755 17.25 38.25 7.75 320 1.208 276 612
2600 0.269 0.335 58 111 17 2 18 66 39 69 0 4 1 0 0.8406 1.6087 0.2609 0.9565 0.5652 0.0838 14.5 27.75 4.5 276 0 0 0
2500 0.249 0.337 54 115 15 1 17 73 63 116 6 6 1 0 0.4655 0.9914 0.1466 0.6293 0.5431 0.0562 9 19.1667 2.8333 696 2.022 324 690
2475 0.26 0.292 59 128 22 7 12 50 23 64 21 22 0 1 0.9219 2 0.1875 0.7812 0.3594 0.0133 2.6818 5.8182 0.5455 1408 6.132 1239 2688
2313 0.273 0.346 87 169 28 5 8 58 70 53 3 9 0 1 1.6415 3.1887 0.1509 1.0943 1.3208 0.0384 9.6667 18.7778 0.8889 477 1.038 261 507
2175 0.291 0.379 104 170 32 2 26 100 87 89 22 5 1 0 1.1685 1.9101 0.2921 1.1236 0.9775 0.0758 20.8 34 5.2 445 8.338 2288 3740
600 0.258 0.37 34 86 14 1 14 38 15 45 0 11 1 0 0.7556 1.9111 0.3111 0.8444 0.3333 0.0336 3.0909 7.8182 1.2727 495 0 0 0
460 0.228 0.279 16 38 7 2 3 21 11 32 2 4 0 0 0.5 1.1875 0.0938 0.6562 0.3438 0.0698 4 9.5 0.75 128 0.558 32 76
240 0.25 0.327 40 61 11 0 1 18 24 26 14 3 0 0 1.5385 2.3462 0.0385 0.6923 0.9231 0.109 13.3333 20.3333 0.3333 78 4.578 560 854
200 0.203 0.24 39 64 10 1 10 33 14 96 13 7 0 0 0.4062 0.6667 0.1042 0.3438 0.1458 0.0343 5.5714 9.1429 1.4286 672 3.12 507 832
177 0.262 0.283 7 38 5 0 0 10 5 18 2 8 0 0 0.3889 2.1111 0 0.5556 0.2778 0.0354 0.875 4.75 0 144 0.566 14 76
140 0.222 0.307 21 45 9 0 6 22 19 56 3 4 0 0 0.375 0.8036 0.1071 0.3929 0.3393 0.0768 5.25 11.25 1.5 224 0.921 63 135
117 0.227 0.28 4 5 2 0 1 3 2 1 0 1 0 0 4 5 1 3 2 0.28 4 5 1 1 0 0 0
115 0.261 0.37 1 6 0 0 0 2 4 3 0 1 0 0 0.3333 2 0 0.6667 1.3333 0.37 1 6 0 3 0 0 0
2600 0.3 0.368 69 141 22 3 19 75 53 64 31 8 1 0 1.0781 2.2031 0.2969 1.1719 0.8281 0.046 8.625 17.625 2.375 512 11.408 2139 4371
1907 0.225 0.292 60 130 22 1 13 73 50 100 2 15 1 0 0.6 1.3 0.13 0.73 0.5 0.0195 4 8.6667 0.8667 1500 0.584 120 260
1190 0.255 0.321 39 108 22 8 3 26 42 61 2 9 0 1 0.6393 1.7705 0.0492 0.4262 0.6885 0.0357 4.3333 12 0.3333 549 0.642 78 216
990 0.29 0.349 59 141 30 2 16 64 42 102 14 7 1 0 0.5784 1.3824 0.1569 0.6275 0.4118 0.0499 8.4286 20.1429 2.2857 714 4.886 826 1974
925 0.246 0.323 22 81 14 0 6 26 22 26 2 6 1 0 0.8462 3.1154 0.2308 1 0.8462 0.0538 3.6667 13.5 1 156 0.646 44 162
