x1 x2
-1.812 -0.735
-2.114 0.014
-0.279 -1.059
-0.03 -1.056
-1.726 0.56
0.168 0.217
-1.971 -0.026
-1.563 -0.836
-0.416 -1.26
-0.659 -1.204
0.212 0.125
0.257 0.857
-0.191 -0.075
-0.231 -1.081
-0.887 -1.305
0.051 0.525
-0.858 1.412
0.145 0.715
-1.275 0.89
-0.78 -1.193
0.074 0.14
0.304 0.289
-0.251 1.23
-0.013 -0.937
-0.321 -1.076
-0.364 1.331
-0.462 -1.216
-1.892 0.697
-1.451 1.255
-0.227 1.378
0.075 -0.023
-1.809 0.215
-0.278 1.222
-1.576 1.05
-0.111 -1.112
-1.804 -0.74
0.09 -1.275
-1.054 1.206
-0.023 0.979
-0.827 -1.172
0.244 0.38
-0.064 0.092
-1.146 -1.257
-0.588 -1.576
-1.98 -0.084
-2.092 0.383
-0.895 1.206
-0.051 -0.014
0.179 0.346
-0.422 1.282
-1.873 0.44
0.164 -0.057
0.284 0.459
-0.74 -1.246
0.191 0.421
-2.065 0.185
-0.161 1.176
-0.345 1.2
-2.018 0.2
0.162 0.177
-1.877 -0.667
-0.173 1.119
0.214 0.723
-1.345 -1.082
-1.817 0.574
-1.216 -1.187
0.211 0.764
-1.916 0.559
0.177 0.454
-1.14 1.246
-1.596 -0.977
0.151 0.272
-1.815 0.44
0.131 0.713
0.096 1.124
0.106 0.284
-0.154 -1.033
-2.044 -0.513
0.017 0.81
0.034 -0.037
0.091 -0.01
-1.525 1.079
0.105 0.858
0.166 0.103
-1.437 -0.98
-1.968 -0.558
-0.054 -0.049
-0.381 -1.145
-0.408 1.109
-0.571 1.135
0.181 -0.978
-1.181 -1.108
0.148 0.004
-0.07 0.159
-2.032 -0.2
-0.136 -0.209
-0.162 1.255
-1.034 1.308
0.018 -0.142
0.191 0.418
-1.344 1.015
0.238 0.297
-0.383 -1.498
-0.964 -1.232
-1.879 0.406
-1.086 1.115
-1.986 -0.063
-1.482 0.996
0.197 0.062
-1.805 -0.437
-1.813 0.464
-1.651 0.066
-1.819 0.702
-1.905 0.658
-0.907 1.271
-0.152 -1.153
0.158 0.154
-0.718 -1.354
-1.988 0.384
-0.783 1.196
-0.326 -1.463
-0.779 1.165
-1.776 0.87
-1.485 1.267
-1.887 0.427
-0.808 1.102
-0.824 1.261
-1.896 -0.676
0.211 0.855
-0.21 -1.24
0.215 0.5
-0.846 -1.14
-0.449 1.305
-1.823 -0.276
-0.104 0.479
-0.946 1.489
-0.056 0.962
-0.174 -0.015
-0.459 -1.201
-0.785 1.378
0.041 0.048
0.169 0.4
-2.098 0.442
0.19 0.06
-0.532 1.187
-1.627 -0.955
-1.832 -0.495
-2.01 -0.083
-2.019 0.275
0.197 0.045
0.005 0.827
-1.652 -1.063
-1.55 -0.893
0.003 0.013
-1.874 0.405
0.233 0.021
-0.95 -1.354
-0.027 1.146
-0.983 1.096
-2.037 -0.325
-1.909 -0.469
0.204 0.648
-0.421 -1.132
-1.966 0.075
-1.941 -0.716
-1.918 0.589
-0.976 1.185
0.185 0.244
-0.169 -1.201
0.084 -0.006
-1.887 -0.448
0.447 0.547
-1.063 1.483
-1.62 -0.984
0.243 0.695
-1.501 -1.022
-0.075 0.086
0.358 0.391
-1.792 -0.373
0.148 -0.015
0.011 1.013
-1.855 -0.803
-0.517 1.208
-1.277 -1.157
-1.076 -1.208
-1.559 0.92
-1.737 -0.816
-0.841 -1.303
-1.09 -1.349
-1.947 0.527
0.169 0.318
-1.947 -0.003
-1.049 1.263
-0.257 1.054
0.174 0.22
-1.869 -0.455
-1.951 -0.004
-1.899 -0.472
-1.53 1.033
0.089 -0.051
