x    y
-0.5 0.205127
-0.479592 0.569773
-0.459184 0.114177
-0.438776 0.182496
-0.418367 0.192294
-0.397959 -0.182647
-0.377551 0.420205
-0.357143 0.360085
-0.336735 -0.032284
-0.316327 0.219209
-0.295918 0.176457
-0.27551 -0.166854
-0.255102 0.045524
-0.234694 -0.009428
-0.214286 0.023455
-0.193878 -0.061545
-0.173469 -0.016501
-0.153061 -0.401445
-0.132653 -0.052195
-0.112245 0.42064
-0.091837 -0.20657
-0.071429 -0.529828
-0.05102 -0.015716
-0.030612 -0.511626
-0.010204 -0.048488
0.010204 0.194332
0.030612 -1.424888
0.05102 -0.262993
0.071429 -0.757952
0.091837 1.253877
0.112245 -0.007172
0.132653 -0.104287
0.153061 -0.150861
0.173469 -0.591269
0.193878 -0.692459
0.214286 0.206381
0.234694 0.127588
0.255102 0.790159
0.27551 0.022993
0.295918 0.255412
0.316327 -0.331576
0.336735 -0.048858
0.357143 0.2711
0.377551 0.024327
0.397959 0.066032
0.418367 0.176136
0.438776 0.041385
0.459184 -0.077033
0.479592 0.597242
0.5 0.291017
