X Y
-3.5 0.132
-3.467 -0.961
-3.435 3.369
-3.402 0.147
-3.369 1.449
-3.337 -1.464
-3.304 -3.165
-3.271 -2.225
-3.239 -4.885
-3.206 0.737
-3.173 -1.421
-3.141 -2.748
-3.108 -4.418
-3.075 -4.463
-3.043 -5.085
-3.01 -3.333
-2.977 -5.17
-2.945 -4.211
-2.912 -7.466
-2.879 -6.68
-2.847 -5.018
-2.814 -6.461
-2.781 -4.746
-2.749 -5.46
-2.716 -7.442
-2.683 -5.956
-2.651 -7.116
-2.618 -6.006
-2.585 -6.133
-2.553 -5.874
-2.52 -6.868
-2.487 -3.758
-2.455 -5.936
-2.422 -5.848
-2.389 -6.274
-2.357 -9.106
-2.324 -6.388
-2.291 -4.302
-2.259 -6.356
-2.226 -8.804
-2.193 -5.58
-2.161 -6.229
-2.128 -6.629
-2.095 -5.665
-2.063 -6.08
-2.03 -6.175
-1.997 -5.57
-1.965 -5.453
-1.932 -6.728
-1.899 -6.174
-1.867 -7.466
-1.834 -5.264
-1.802 -1.55
-1.769 -4.424
-1.736 -3.558
-1.704 -3.435
-1.671 -5.43
-1.638 -1.546
-1.606 -3.528
-1.573 -4.143
-1.54 -3.614
-1.508 -3.267
-1.475 -1.975
-1.442 0.195
-1.41 -3.86
-1.377 -1.864
-1.344 -3.678
-1.312 -2.594
-1.279 -2.53
-1.246 -6.044
-1.214 -1.753
-1.181 -1.274
-1.148 -3.294
-1.116 -1.822
-1.083 -1.943
-1.05 1.126
-1.018 -0.437
-0.985 -0.942
-0.952 -2.043
-0.92 -0.135
-0.887 1.436
-0.854 -1.007
-0.822 -1.808
-0.789 -1.385
-0.756 -2.918
-0.724 2.115
-0.691 1.674
-0.658 -3.163
-0.626 1.295
-0.593 0.014
-0.56 0.906
-0.528 -0.904
-0.495 0.621
-0.462 1.351
-0.43 -0.117
-0.397 -1.267
-0.364 2.206
-0.332 -0.315
-0.299 1.494
-0.266 1.685
-0.234 2.026
-0.201 0.629
-0.168 3.343
-0.136 1.718
-0.103 -0.402
-0.07 0.147
-0.038 0.331
-0.005 -1.427
0.028 -0.413
0.06 0.265
0.093 -0.495
0.126 -0.802
0.158 -1.086
0.191 1.251
0.224 -1.387
0.256 1.616
0.289 1.146
0.322 0.145
0.354 -1.837
0.387 -1.314
0.42 2.473
0.452 -0.671
0.485 0.321
0.518 -0.549
0.55 0.6
0.583 -1.469
0.616 0.764
0.648 -0.372
0.681 0.283
0.714 -1.442
0.746 1.763
0.779 1.4
0.812 0.592
0.844 0.831
0.877 -0.121
0.91 2.527
0.942 1.081
0.975 1.213
1.008 -0.18
1.04 -1.643
1.073 2.213
1.106 1.647
1.138 -1.826
1.171 1.341
1.204 1.336
1.236 -1.686
1.269 3.047
1.302 -1.399
1.334 -0.946
1.367 3.422
1.399 2.317
1.432 2.939
1.465 0.98
1.497 0.025
1.53 0.902
1.563 2.318
1.595 3.154
1.628 1.808
1.661 2.51
1.693 2.374
1.726 3.137
1.759 2.655
1.791 2.235
1.824 4.129
1.857 0.307
1.889 3.484
1.922 3.56
1.955 4.598
1.987 3.84
2.02 3.321
2.053 2.983
2.085 2.159
2.118 3.858
2.151 3.177
2.183 2.949
2.216 4.16
2.249 5.351
2.281 4.148
2.314 2.539
2.347 4.526
2.379 3.984
2.412 5.296
2.445 4.874
2.477 2.529
2.51 2.657
2.543 1.686
2.575 0.895
2.608 1.86
2.641 -0.171
2.673 3.721
2.706 1.232
2.739 2.799
2.771 1.762
2.804 5.527
2.837 -1.121
2.869 -0.076
2.902 -0.933
2.935 -0.871
2.967 1.076
3 -2.729
