loc1 loc2 loc3 loc4 loc5 loc6 loc7 loc8 loc9 loc10 loc11 loc12
1 0 1 0 0 1 1 0 0 1 0 0
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 0 1 0 1
1 1 1 1 1 1 1 1 1 0 1 1
1 1 0 1 1 0 0 1 1 1 1 1
0 1 0 1 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0
1 1 0 1 1 1 1 1 1 1 1 1
0 1 1 1 0 1 1 0 0 0 0 1
0 0 0 0 1 0 0 1 0 1 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 1 1 1 0 1 0 0 0 0 0 1
1 1 1 1 1 1 1 1 1 1 1 1
0 0 1 0 0 0 0 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 0 1 1 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 0 1 1 0 0 0 0 1
1 1 1 1 0 1 1 0 0 0 0 1
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 1 0 0 1 1 0 1 0
1 0 1 0 0 1 1 0 0 0 0 0
1 0 1 0 0 1 1 1 1 0 1 1
1 1 1 1 1 1 1 1 1 1 1 1
0 1 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 1 0 0 1 1 1 1 0
1 1 1 1 1 1 1 1 1 1 1 1
0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
1 0 1 0 0 1 1 0 0 0 1 0
1 1 1 1 0 1 1 0 1 0 1 1
0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 0 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 0 1 1 1 1 1 1 1 0
1 1 0 0 1 0 0 1 1 1 1 0
0 0 0 0 1 0 0 0 0 1 0 0
0 1 1 1 1 1 0 1 1 1 0 1
1 1 1 1 0 1 1 0 0 0 1 1
0 0 0 0 0 0 1 0 0 0 0 0
1 0 0 0 1 0 0 1 1 1 1 0
0 0 0 0 1 0 0 1 1 1 1 0
1 1 1 1 1 1 1 1 1 1 1 1
1 1 0 1 1 1 0 1 1 1 1 1
0 0 0 0 1 0 0 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 1 1 1 1 0 0 1 0 1
0 1 0 1 0 1 0 0 0 0 0 1
0 0 0 0 1 0 0 1 1 1 0 0
1 0 1 0 1 1 1 1 1 1 1 1
0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 1 0 0 1 0 1 0 0
1 0 0 0 1 0 0 1 1 1 1 0
1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 1 1 1 0 1 1 0 0 0 0 1
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 1 0 0
0 1 0 0 0 0 0 0 0 0 0 0
0 1 0 1 0 0 0 0 0 0 0 0
0 1 0 1 0 0 0 0 0 0 0 0
1 1 1 1 0 1 1 0 0 0 0 1
1 1 1 0 1 1 1 1 1 1 1 0
0 0 0 0 1 0 0 0 0 1 0 0
1 1 1 0 0 1 1 0 0 1 1 1
0 1 1 1 0 1 0 0 0 0 0 1
1 1 1 1 1 1 1 1 1 1 1 1
0 1 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 1 0 0 1 1 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1
1 0 0 0 1 0 0 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 1 0 0
1 1 1 1 0 1 1 0 0 0 0 1
0 0 0 0 0 0 0 0 0 1 0 0
1 1 1 1 1 1 1 1 1 1 1 1
0 1 0 1 0 0 0 0 0 0 0 0
1 0 1 0 1 1 1 1 1 1 1 0
0 1 0 0 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 0 1 1 1
