RAh RAm RAs DEd DEm DEs GLON GLAT F12 F25 F60 F100 CZ D LIR1 LIR2
0 9 55.1 25 55 37 111.38 -36.01 0.66 1.29 9.03 15.66 4536 59.62 10.89 11.05
0 11 6.6 -12 6 27 88.78 -72.25 0.35 2.39 17.05 16.86 5931 77.6 11.34 11.44
0 14 54.5 -39 11 19 332.89 -75.74 1.34 6.25 77 174.09 125 3.1 9.31 9.36
0 18 51.4 -10 22 33 96.77 -71.57 0.28 1.2 7.48 9.66 8112 105.76 11.27 11.41
0 30 21.6 -33 14 38 338.32 -82.38 2.35 2.59 22.65 58.87 1579 15.9 10.25 10.37
0 32 2 -64 15 14 306.41 -52.74 0.42 0.88 7.05 17.41 2616 35.31 10.42 10.51
0 34 16.2 -27 48 10 21.9 -86.13 0.66 1.66 9.66 17.72 1584 16.2 9.79 9.95
0 34 46 -8 23 53 110.27 -70.86 1.61 2.17 17.93 42.43 1637 21.92 10.4 10.52
0 36 52 -33 33 19 328.1 -82.85 0.52 2.51 6.88 5.04 6156 81.2 11.02 11.22
0 36 58.4 -29 28 45 355.64 -86.04 0.41 1.27 11.36 19.77 3569 47.28 10.79 10.9
0 42 44.8 41 16 13 121.18 -21.57 163.23 107.71 536.18 2928.4 -300 0.79 9.33 9.39
0 42 46.5 -23 33 31 93.72 -85.93 0.36 1.28 10.05 17.14 6047 79.23 11.19 11.3
0 47 6 -20 45 48 113.86 -83.56 0.14 0.89 8.73 23.5 159 3.1 8.43 8.45
0 47 33.1 -25 17 15 97.37 -87.96 41.04 154.67 967.81 1288.15 261 3.1 10.29 10.44
0 52 4.3 47 33 1 123.04 -15.32 1.65 2.65 25.03 44.46 641 11.45 9.9 10.03
0 52 42.8 -31 12 19 299.1 -85.91 0.45 0.6 5.47 16.9 1628 21.6 9.97 10.03
0 54 4 73 5 13 123.13 10.22 0.78 3.51 21.92 29.11 4706 64.28 11.29 11.44
0 52 44.7 -72 49 42 302.8 -44.3 67.03 270.18 6688.9 15021.9 158 0.06 7.84 7.86
0 54 49.9 29 14 42 123.82 -33.62 0.34 0.45 5.57 10.84 4640 60.71 10.73 10.84
0 54 52.9 -37 41 9 299.22 -79.42 0.9 1.96 15.3 48.04 142 2 8.35 8.39
0 57 40.9 43 47 37 124.12 -19.06 0.2 1.03 9.16 13.6 5334 70.3 11.01 11.11
0 59 49.6 -7 34 52 129.12 -70.35 0.24 0.76 9.07 20.11 1623 21.59 10.07 10.13
1 7 46.3 -17 30 32 145.18 -79.67 1.03 3.65 22.93 31.55 6028 78.57 11.5 11.65
1 10 8.5 -16 51 14 146.73 -78.85 0.34 0.9 7.25 10.33 10469 136.17 11.49 11.63
1 18 8.6 -44 27 40 287.48 -71.86 0.39 1.95 9.27 11.76 6866 90.96 11.22 11.39
1 19 45 3 24 36 136.63 -58.71 0.42 1.11 7.22 12.2 2374 31.12 10.22 10.37
1 20 1.4 14 21 35 133.29 -47.94 0.21 1.54 10.71 9.67 9415 122.02 11.55 11.63
1 21 47.4 17 35 33 133.13 -44.68 0.37 0.56 7.78 15.45 2518 33.16 10.35 10.44
1 24 34.4 3 47 29 138.7 -58.06 0.9 3.22 31.52 47.37 2305 30.22 10.81 10.91
1 33 54 30 40 7 133.62 -31.32 32.69 40.26 419.65 1256.43 -179 0.84 9.02 9.07
1 34 17.8 -29 25 10 229.08 -80.29 2.25 4.32 27.38 59.21 1475 14.98 10.22 10.37
1 34 49.4 -36 8 25 259.98 -77.11 0.37 0.71 7.17 15.54 4797 63.37 10.9 11
1 35 5.8 -41 26 17 273.67 -73.12 0.2 1.3 5.73 8.63 386 4.46 8.4 8.57
1 36 41.2 15 47 29 138.61 -45.7 2.45 2.87 21.54 54.45 654 9.99 9.82 9.95
1 36 24.7 -37 19 56 262.83 -76.07 0.37 1.55 7.77 12.9 5137 67.88 10.93 11.09
1 38 52.6 -10 27 15 159.01 -69.93 0.16 0.44 6.62 6.88 14519 188.37 11.73 11.76
1 39 12.9 -75 0 40 298.82 -41.73 0.32 0.84 7.36 13.76 3966 54.59 10.74 10.85
1 43 2.1 13 38 45 141.6 -47.35 3.05 7.3 65.52 114.74 856 12.33 10.38 10.49
1 44 30 17 6 4 140.66 -43.94 0.06 1.03 13.25 14.3 8257 106.96 11.52 11.56
1 50 30.9 6 8 43 148.34 -53.79 0.24 0.55 6.74 11.83 1593 21.21 9.86 9.96
1 51 14 22 34 55 140.58 -38.23 0.5 0.83 7.59 13.56 9770 126.7 11.49 11.63
1 51 17.5 22 21 30 140.68 -38.44 0.65 0.91 5.38 18.01 3117 40.81 10.55 10.64
1 51 4.5 -9 42 4 164.66 -67.6 0.62 0.67 6.17 14.9 1827 19.87 9.86 9.98
1 52 58.8 12 42 25 145.44 -47.46 0.53 0.65 6.29 12.39 4556 59.02 10.76 10.9
1 54 53.1 36 54 59 136.8 -24.24 0.23 0.99 5.89 7.81 5621 73.48 10.84 10.99
1 58 30.2 25 21 36 141.51 -35.08 0.25 0.73 6.7 12.48 4919 63.96 10.84 10.94
1 59 19.5 19 0 23 144.39 -41.02 1.1 0.92 6.73 24.15 2409 28.71 10.37 10.46
2 2 17.4 68 21 41 129.41 6.39 0.37 0.81 6.44 12.92 3577 49.33 10.61 10.73
2 9 23.8 -10 8 13 173.87 -64.98 0.36 0.5 5.31 12.6 4073 52.9 10.64 10.74
2 10 8.5 39 11 19 139.19 -21.19 0.72 1.07 11.46 25.33 5371 70.37 11.21 11.31
2 9 38.8 -10 8 46 173.99 -64.94 0.68 1.88 11.41 19.94 3859 50.13 10.84 11
2 9 42.9 -10 11 3 174.08 -64.96 0.52 2.27 11.67 13.03 3934 51.1 10.81 10.97
2 11 0.9 37 39 57 139.89 -22.57 0.41 0.84 6.65 12.77 4687 61.48 10.81 10.94
2 14 4.1 5 10 20 157.76 -52.02 0.26 0.62 5.28 8.57 9061 117.29 11.25 11.37
2 16 33.2 -11 20 50 178.77 -64.53 0.44 0.69 5.81 12.86 4036 52.45 10.65 10.77
2 17 59.3 14 32 30 152.32 -43.34 0.84 1.41 11.82 25.56 3874 50.29 10.92 11.04
2 22 33.5 42 21 18 140.38 -17.41 5.27 7 66.46 172.23 533 8.57 10.18 10.27
2 23 21.6 32 11 43 144.65 -26.77 0.34 0.8 6.55 11.63 10130 131.71 11.46 11.59
2 23 5.3 -21 13 58 202.14 -68.32 1.74 2.21 17.54 52.35 1497 15.75 10.19 10.27
2 24 7.1 47 58 7 138.56 -12.07 0.35 1.07 10.31 15.51 4679 61.97 10.95 11.07
2 25 4.2 -24 47 21 211.86 -68.85 0.33 0.74 5.53 9.68 3092 40.57 10.34 10.48
2 27 16.6 33 34 39 144.88 -25.18 0.56 0.83 7.82 21.08 553 9.16 9.32 9.4
2 30 43 -2 56 18 171.68 -56.11 0.62 0.94 5.85 15.08 5896 76.36 11.04 11.17
2 34 13.2 29 18 42 148.39 -28.43 2.03 3.46 33.52 59.61 1489 20.65 10.54 10.67
2 33 34.3 -39 2 42 248.69 -65.64 1.42 3.65 25.06 49.88 2005 26.43 10.66 10.78
2 37 25 21 6 1 153.63 -35.38 0.56 1.76 11.4 16.72 4136 53.83 10.87 11.02
2 38 31.8 -6 40 40 179.01 -57.37 0.71 3.28 19.71 27.33 1461 19.33 10.2 10.35
2 41 44.3 0 26 36 171.33 -51.75 2.24 2.84 23.37 65.26 996 11.31 10 10.09
2 42 36.4 34 45 54 147.47 -22.75 0.29 1.35 5.62 8.8 3901 51.32 10.53 10.72
2 42 48.3 28 34 26 150.68 -28.23 0.34 0.48 5.33 10.2 1545 21.33 9.79 9.9
2 42 41.4 0 0 45 172.11 -51.93 39.84 87.57 196.37 257.37 1005 13.7 10.89 11.27
2 45 40 -15 21 30 194.85 -60.99 0.31 0.78 7.68 13.57 4101 53.46 10.73 10.84
2 45 59.7 -7 34 41 182.48 -56.55 1.96 3.2 29.41 58.64 1405 18.61 10.42 10.54
