radius temperature sigmatemperature
3379.9225 178.953 0.466
3403.0932 144.905 3.85
3389.1559 164.85 0.873
3391.3243 157.069 1.56
3383.6129 170.452 0.857
3400.4994 148.861 3.16
3394.339 149.607 1.66
3399.7312 147.865 2.9
3384.9359 171.652 0.628
3389.7827 159.699 1.38
3400.0214 146.27 2.7
3396.9439 149.733 1.94
3400.1968 145.639 2.68
3407.8433 151.084 6.95
3377.157 176.78 0.309
3399.5959 146.438 2.49
3407.6835 152.484 6.98
3379.0294 170.7 0.58
3386.9166 162.676 0.719
3379.1569 180.487 0.439
3398.1906 148.946 2.48
3391.1203 157.418 1.06
3390.1908 161.373 0.973
3386.6121 163.816 0.843
3382.9807 178.252 0.509
3408.9789 155.089 8.53
3392.0206 154.304 1.35
3392.2449 153.651 1.26
3407.4001 149.797 6.79
3402.2367 146.024 3.44
3403.7657 144.457 4
3398.4834 147.866 2.28
3402.0358 150.315 3.76
3389.1586 161.648 0.973
3384.0112 177.27 0.579
3410.4534 155 10
3410.6305 151.989 9.06
3376.8778 179.161 0.289
3388.389 163.229 0.913
3387.3851 162.15 0.899
3380.4401 176.198 0.514
3384.5968 169.021 0.591
3400.7043 145.823 2.85
3385.3049 169.114 0.709
3375.8984 171.923 0.338
3393.5668 150.555 1.55
3383.5213 170.197 0.656
3404.6246 148.169 4.72
3386.1439 164.561 0.672
3399.9369 146.211 2.61
3405.9273 147.699 5.92
3379.238 172.397 0.362
3396.3554 150.312 1.77
3398.8276 147.122 2.3
3402.0995 145.847 4.01
3410.5028 155 10
3392.6642 154.206 1.23
3408.6054 152.424 7.67
3391.2473 156.108 1.26
3377.9038 178.926 0.335
3407.4537 152.285 7.12
3377.7141 174.122 0.316
3388.9298 159.748 1.03
3376.9837 172.227 0.292
3376.898 179.599 0.361
3376.682 171.744 0.363
3389.9307 159.336 1.03
3381.2078 175.159 0.547
3385.0665 166.861 0.742
3408.7859 150.637 7.52
3376.2014 173.287 0.273
3382.0779 171.95 0.758
3392.0971 154.703 1.66
3402.4965 144.155 3.49
3383.823 171.289 0.555
3381.8518 177.64 0.489
3397.2886 148.431 1.95
3376.0876 181.95 0.272
3393.8612 153.333 1.41
3409.9712 155.261 9.21
