radius latitude longitude geopotential pressure sigmapressure temperature sigmatemperature mnd sigmamnd orbit
3375.9759 71.532 264.977 -14087 751.394 2.38 173.052 0.449 3.14488e+23 2.12e+20 1
3376.769 71.532 264.984 -11125 686.626 2.34 170.503 0.475 2.91678e+23 2.11e+20 1
3377.5075 71.532 264.992 -8369 631.081 2.31 171.41 0.509 2.66663e+23 2.12e+20 1
3378.271 71.532 265 -5520 578.462 2.27 170.777 0.543 2.45335e+23 2.12e+20 1
3379.0294 71.532 265.008 -2692 530.458 2.23 170.7 0.58 2.25077e+23 2.12e+20 1
3379.7924 71.532 265.015 152 486.171 2.19 170.52 0.62 2.06504e+23 2.12e+20 1
3380.5563 71.532 265.023 2998 445.553 2.15 170.796 0.663 1.88945e+23 2.12e+20 1
3381.3151 71.532 265.031 5824 408.706 2.11 171.618 0.71 1.72489e+23 2.12e+20 1
3382.0779 71.532 265.038 8664 374.841 2.08 171.95 0.758 1.57892e+23 2.12e+20 1
3382.84 71.532 265.046 11500 343.855 2.04 171.789 0.808 1.44976e+23 2.12e+20 1
3383.6129 71.532 265.054 14375 314.942 2 170.452 0.857 1.33826e+23 2.12e+20 1
3384.381 71.532 265.061 17230 288.462 1.96 169.726 0.911 1.23099e+23 2.12e+20 1
3385.1519 71.532 265.069 20095 264.022 1.92 168.675 0.968 1.13371e+23 2.12e+20 1
3385.9218 71.532 265.076 22954 241.555 1.89 167.611 1.03 1.04383e+23 2.12e+20 1
3386.6946 71.532 265.084 25823 220.794 1.85 166.238 1.09 9.61988e+22 2.12e+20 1
3387.4648 71.532 265.091 28682 201.749 1.81 165.211 1.16 8.84476e+22 2.12e+20 1
3388.2357 71.533 265.099 31541 184.209 1.77 163.717 1.23 8.1495e+22 2.12e+20 1
3389.0084 71.533 265.106 34407 168.009 1.74 161.708 1.3 7.52514e+22 2.12e+20 1
3389.7827 71.533 265.114 37276 153.035 1.7 159.699 1.38 6.94069e+22 2.12e+20 1
3390.554 71.534 265.121 40133 139.316 1.66 158.495 1.47 6.36648e+22 2.12e+20 1
3391.3243 71.534 265.129 42985 126.75 1.62 157.069 1.56 5.84478e+22 2.12e+20 1
3392.0971 71.534 265.136 45846 115.153 1.59 154.703 1.66 5.39126e+22 2.12e+20 1
3392.8714 71.534 265.144 48710 104.467 1.55 152.844 1.76 4.95046e+22 2.12e+20 1
3393.6411 71.535 265.151 51556 94.7696 1.51 152.665 1.89 4.49617e+22 2.12e+20 1
3394.4113 71.535 265.159 54403 85.9527 1.48 152.271 2.02 4.08844e+22 2.12e+20 1
3395.1802 71.535 265.166 57243 77.9517 1.44 151.884 2.16 3.71729e+22 2.12e+20 1
3395.9511 71.535 265.173 60090 70.6496 1.41 150.76 2.31 3.3942e+22 2.12e+20 1
3396.7206 71.536 265.181 62930 64.006 1.37 150.038 2.47 3.08982e+22 2.12e+20 1
3397.4901 71.536 265.188 65769 57.9545 1.34 149.051 2.63 2.81622e+22 2.11e+20 1
3398.2592 71.536 265.196 68606 52.4525 1.3 148.318 2.82 2.56144e+22 2.11e+20 1
3399.0281 71.537 265.203 71440 47.4503 1.27 147.378 3.01 2.33195e+22 2.11e+20 1
3399.797 71.537 265.211 74273 42.8955 1.24 146.303 3.22 2.1236e+22 2.11e+20 1
3400.565 71.537 265.218 77101 38.7691 1.2 146.184 3.47 1.92088e+22 2.11e+20 1
3401.3322 71.538 265.225 79925 35.045 1.17 146.253 3.73 1.73554e+22 2.11e+20 1
3402.0995 71.538 265.233 82749 31.674 1.14 145.847 4.01 1.57297e+22 2.11e+20 1
3402.866 71.538 265.24 85568 28.6358 1.1 146.575 4.34 1.41503e+22 2.11e+20 1
3403.6316 71.539 265.247 88383 25.9082 1.07 147.66 4.7 1.27084e+22 2.11e+20 1
3404.3965 71.539 265.255 91193 23.4591 1.04 148.513 5.09 1.14409e+22 2.11e+20 1
3405.1619 71.539 265.262 94004 21.2445 1.01 147.95 5.48 1.04002e+22 2.11e+20 1
3405.9273 71.54 265.269 96814 19.2337 0.986 147.699 5.92 9.43187e+21 2.11e+20 1
3406.6906 71.54 265.277 99616 17.433 0.958 150.576 6.51 8.38555e+21 2.11e+20 1
3407.4537 71.54 265.284 102415 15.8265 0.931 152.285 7.12 7.52732e+21 2.11e+20 1
3408.217 71.541 265.292 105213 14.3769 0.905 152.546 7.74 6.82616e+21 2.11e+20 1
3408.9789 71.541 265.299 108005 13.0743 0.879 155.089 8.53 6.10593e+21 2.11e+20 1
3409.7405 71.541 265.306 110795 11.8994 0.855 154.903 9.22 5.56389e+21 2.11e+20 1
3410.5028 71.542 265.314 113586 10.8297 0.832 155 10 5.06057e+21 2.11e+20 1
3376.0876 71.516 236.316 -13564 723.47 1.22 181.95 0.272 2.87993e+23 1.08e+20 2
3376.8778 71.516 236.323 -10613 664.23 1.21 179.161 0.289 2.68528e+23 1.08e+20 2
3377.6296 71.516 236.331 -7807 611.995 1.2 179.255 0.31 2.47281e+23 1.08e+20 2
3378.4013 71.516 236.339 -4928 562.6 1.18 178.602 0.332 2.28153e+23 1.08e+20 2
3379.1546 71.516 236.347 -2119 518.252 1.17 179.26 0.358 2.09398e+23 1.08e+20 2
3379.9256 71.516 236.354 755 476.532 1.16 179.024 0.384 1.92794e+23 1.08e+20 2
3380.6816 71.516 236.362 3571 439.005 1.14 180.163 0.415 1.76489e+23 1.09e+20 2
3381.445 71.516 236.37 6414 404.211 1.13 180.022 0.445 1.62628e+23 1.09e+20 2
3382.2139 71.516 236.377 9276 371.902 1.12 179.224 0.476 1.50295e+23 1.09e+20 2
3382.9807 71.516 236.385 12129 342.108 1.1 178.252 0.509 1.39009e+23 1.09e+20 2
3383.7529 71.516 236.393 15001 314.333 1.09 176.469 0.543 1.29014e+23 1.09e+20 2
3384.5255 71.516 236.4 17873 288.575 1.08 174.836 0.58 1.19548e+23 1.09e+20 2
3385.2948 71.516 236.407 20732 264.824 1.07 173.32 0.62 1.10668e+23 1.09e+20 2
3386.0688 71.517 236.415 23607 242.687 1.05 171.064 0.661 1.02754e+23 1.09e+20 2
3386.8412 71.517 236.423 26474 222.209 1.04 169.11 0.706 9.51713e+22 1.09e+20 2
3387.6148 71.517 236.43 29345 203.234 1.03 167.153 0.755 8.80635e+22 1.09e+20 2
3388.3871 71.517 236.437 32210 185.741 1.02 165.795 0.811 8.11427e+22 1.09e+20 2
3389.1559 71.518 236.445 35060 169.724 1 164.85 0.873 7.45709e+22 1.09e+20 2
3389.9276 71.518 236.452 37920 154.927 0.993 162.886 0.935 6.88904e+22 1.09e+20 2
3390.7004 71.518 236.46 40782 141.229 0.981 160.517 1 6.3726e+22 1.09e+20 2
3391.4729 71.518 236.467 43642 128.588 0.969 158.44 1.07 5.87826e+22 1.09e+20 2
3392.2444 71.519 236.475 46497 116.964 0.958 156.736 1.16 5.40504e+22 1.09e+20 2
3393.0159 71.519 236.482 49351 106.295 0.947 155.337 1.25 4.95624e+22 1.09e+20 2
3393.7859 71.519 236.49 52198 96.5598 0.935 154.7 1.35 4.52085e+22 1.09e+20 2
