negy5 x1 x3
3.927 0.19 1.382
4.199 0.861 1.588
3.473 -0.102 0.151
2.565 0.015 -0.055
2.293 0.277 1.588
2.565 0.686 1.245
0.841 0.598 0.219
2.293 0.248 0.219
3.201 -1.766 0.287
2.293 -0.92 0.151
2.838 0.92 0.424
2.565 1.007 -0.465
2.384 1.182 -1.013
1.295 1.445 -1.013
3.019 -1.883 -1.286
2.475 -0.803 -1.15
3.927 -1.211 1.451
3.292 -0.92 1.382
3.473 1.445 1.314
3.019 1.036 0.014
3.473 -2 0.219
3.382 -1.912 0.014
2.475 -0.19 0.014
1.93 -0.073 0.014
0.296 0.803 0.014
1.022 0.832 -1.971
1.022 0.161 -0.534
1.567 -0.102 -1.423
1.204 0.394 -1.423
1.385 -0.219 -1.355
