STREAM.ID IBI.BUG YEAR LAT.DD LON.DD PHSTVL ANC log.COND log.CL log.SO4 log.PTL log.NTL xcdenbk w1.hall pct.fast xslope lsub.dmm lrbs.bw5 RH.XMET log.WSAREA ELEV.X SLOPMEAN log.POPDENKM FOR.NLCD AG.NLCD log.URB.NLCD log.MINENLCD
DE750S 19.6182119 1994 38.52530 75.63110 6.17   115.00 4.629863 5.433722  4.882802 2.7725887 8.493310  65.7754011 2.62887727   0.0000000  0.1000000 -2.009871463 -2.769706067  9.170000  2.99466671   10  0.1 2.9288443  36.871527 52.237770 0.1107575256 0.0000000000
MAIA97-002 29.6192292 1997 38.55002 82.14481 7.57  1484.99 5.255410 4.722574  5.739688 3.7612001 5.978886  79.6791444 1.18940455  28.0000000  2.2950000  1.052703288 -1.253475988 16.083333  3.76149542  178  4.6 2.7078502  75.942520 23.919347 0.0329636787 0.0000000000
MAIA97-005 44.3160079 1997 38.55886 80.66692 6.94   119.12 3.751854 3.065098  5.363192 3.1780538 6.133398 100.0000000 0.53030909  91.0000000  4.1000000  1.921985637 -0.127180135 16.916667  0.72677536  459  9.2 1.3607201  98.995813  1.000786 0.0000000000 0.0000000000
MAIA97-007 29.9863983 1997 38.39874 81.65725 7.86  2870.42 6.115892 6.162757  7.251473 3.3322045 5.697093  86.0962567 4.57581818  11.0000000  0.6080000  0.066803291 -1.252546492  8.083333  3.91256086  184  8.2 4.2136080  90.578792  5.360308 1.6101040905 0.0000000000
MAIA97-008 39.3564455 1997 39.25398 81.61603 7.69  1717.28 5.826000 6.842235  6.423384 6.1548581 7.606387  33.6898396 3.36366667  44.9541284  1.2800000  1.585375606  0.088824955  9.250000  1.16754738  240  2.9 5.9962904  33.038737 41.767983 3.2371949602 0.0000000000
MAIA97-009 81.3405119 1997 42.27372 77.08766 7.93  1334.01 5.294309 5.814559  5.703836 0.6931472 4.962845  72.7272727 1.10611364  30.0000000  0.7400000  2.008863707  0.250881175 17.583333  4.51884512  363  5.6 2.4535020  91.154791  8.375240 0.3506068704 0.0318648791
MAIA97-015 28.0047197 1997 39.33786 81.09663 7.63  1421.36 5.424950 5.754913  5.885117 4.2904594 5.913503 100.0000000 0.00000000  16.5137615  1.1920000  1.906017285  1.506161173 14.083333  0.52277396  256  1.1 3.0217411  94.858754  5.111322 0.0294850131 0.0000000000
MAIA97-016 56.9258664 1997 39.60649 80.79575 7.77  1453.58 5.361292 5.358695  6.102757 2.6390573 5.273000  93.8502674 0.82578182  28.1818182  0.5400000  2.202361816  0.599348507 17.250000  4.58552855  244  6.8 2.3070750  87.092379 12.559713 0.0255244616 0.0000000000
MAIA97-017 42.2690273 1997 39.04311 79.58046 4.73   -16.80 3.306887 2.283982  4.882320 1.6094379 5.552960 100.0000000 0.00000000  94.0000000  4.5750000  3.128648671  0.345832390 17.916667  3.21121455  620  9.7 0.7925399  98.987932  0.049998 0.0108242063 0.0000000000
MAIA97-018 60.4853721 1997 39.08653 79.15981 7.11  1929.05 5.723585 4.759506  6.976272 1.9459101 6.677083  82.0855615 0.39394545  70.9090909  0.6000000  2.153865479  0.971330920 12.666667  3.90031473  366 10.4 1.7744437  82.994494 16.192666 0.0127039619 0.0124254830
