x1 x2 x3
NA 2.67 NA
0.44 2.73 7.68
1.36 2.96 NA
-1.76 0.31 9.71
NA NA 9.49
1.64 NA NA
-0.01 2.39 7.47
1.95 3.66 10.05
NA 1.92 10.36
NA 2.37 8.66
NA 2.3 6.91
0.37 2.61 8.87
1.11 3.18 7.6
3.06 4.24 11.31
NA NA NA
-0.17 1.98 8.59
-0.11 NA 7.17
2.06 3.4 9.87
1.76 3.65 10.46
0.12 1.8 NA
NA 4.66 11.61
0.72 3.12 7.39
NA NA 9.31
NA 2.82 7.18
1 3.42 NA
2.09 3.56 9.99
2 3.39 11.65
NA 2.73 8.57
NA 4.13 12.77
0.76 NA 7.5
1.93 3.76 10.21
1.54 3.78 7.59
-0.42 2.02 9.37
1.04 NA NA
NA 2.9 8.64
NA 3.81 10.95
-0.65 1.72 7.77
2.43 3.93 10.35
-0.11 2.19 7.91
NA NA NA
0.3 2.38 8.2
-0.31 2.28 5.77
NA 2.08 7.51
-0.02 2.26 7.64
1.09 2.88 9.51
3.53 4.46 12.58
0.37 2.44 NA
1.34 3.32 9.74
-1.47 0.71 7.89
-0.35 2.29 7.13
