year,C
1,606
2,1151
3,928
4,1024
5,1375
6,939
7,701
8,573
9,350
10,322
11,278
12,254
13,36
14,98
15,65
16,94
17,38
18,31
19,36
20,64
21,13
22,15
23,19
24,42
25,38
26,58
27,30
28,68
29,22
30,31
31,34
32,26
33,17
34,11
35,40
36,26
37,19
38,26
39,25
40,43
41,24
42,20
43,56
44,39
45,35
46,29
47,16
48,29
49,47
50,34
51,24
52,12
53,27
54,32
55,42
56,48
57,60
58,39
59,71
60,12
61,39
62,33
63,23
64,22
65,17
66,16
67,14
68,9
69,30
70,27
71,17
72,15
73,20
74,13
75,38
76,16
77,13
78,9
79,9
80,25
81,18
82,13
83,23
84,19
85,31
86,22
87,22
88,25
89,29
90,23
91,23
92,56
93,30
94,9
95,21
96,37
97,46
98,15
99,30
100,34
101,17
