region x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13
1 1.51 -0.56 0.23 -1.17 1.91 0.81 1.03 -0.66 1.22 0.25 0.36 1.84 1.01
1 0.25 -0.5 -0.83 -2.48 0.02 0.57 0.73 -0.82 -0.54 -0.29 0.4 1.11 0.96
1 0.2 0.02 1.11 -0.27 0.09 0.81 1.21 -0.5 2.13 0.27 0.32 0.79 1.39
1 1.69 -0.35 0.49 -0.81 0.93 2.48 1.46 -0.98 1.03 1.18 -0.43 1.18 2.33
1 0.29 0.23 1.84 0.45 1.28 0.81 0.66 0.23 0.4 -0.32 0.36 0.45 -0.04
1 1.48 -0.52 0.3 -1.29 0.86 1.56 1.36 -0.18 0.66 0.73 0.4 0.34 2.23
1 1.71 -0.42 0.3 -1.47 -0.26 0.33 0.49 -0.5 0.68 0.08 0.27 1.36 1.72
1 1.3 -0.17 0.89 -0.57 1.49 0.49 0.48 -0.42 -0.6 0 0.45 1.36 1.74
1 2.25 -0.62 -0.72 -1.65 -0.19 0.81 0.95 -0.58 0.68 0.06 0.54 0.34 0.95
1 1.06 -0.88 -0.35 -1.05 -0.12 1.09 1.12 -1.14 0.45 0.93 0.23 1.32 0.95
1 1.35 -0.16 -0.24 -0.45 0.37 1.05 1.29 -1.14 1.38 0.3 1.28 0.79 2.42
1 1.38 -0.77 -0.17 -0.81 -0.33 -0.15 0.4 -0.82 -0.04 -0.03 0.93 0.29 1.69
1 0.92 -0.54 0.16 -1.05 -0.75 0.49 0.73 -0.58 0.38 0.23 0.84 0.41 1.82
1 2.15 -0.54 0.09 -2.42 -0.61 1.29 1.66 0.55 2.13 0.15 1.28 0.17 1.28
1 1.7 -0.42 0.05 -2.24 0.16 1.61 1.61 -0.58 2.39 1.05 1.06 0.55 2.54
1 0.78 -0.47 1.22 -0.69 0.86 0.89 0.88 -0.5 -0.23 0.97 1.41 0.38 1.79
1 1.6 -0.37 1.29 0.15 1.42 0.81 1.11 -0.26 0.66 0.49 0.49 0.05 1.69
1 1.02 -0.69 0.92 0.15 1.07 1.05 1.37 0.31 0.23 0.67 0.75 -0.06 1.22
1 1.47 -0.67 0.41 -0.9 0.58 1.61 1.9 -0.34 0.47 1.57 1.19 0.29 2.96
1 0.79 0.68 0.71 -1.29 1.14 0.65 1 -1.54 0.12 0.02 0.01 1.05 0.31
1 1.3 -0.63 -0.32 -1.05 1.84 1.13 1.14 -0.98 0.89 0.26 0.58 1.55 0.11
1 -0.09 1.31 1.03 -0.27 0.16 0.18 0.38 -0.9 0.68 -0.24 0.32 1.28 0.07
1 0.87 -0.43 -0.02 -0.87 0.09 0.5 0.85 -0.74 0.17 -0.54 0.67 1.96 0.91
1 -0.19 -0.66 0.56 -0.51 -0.33 0.3 0.34 -0.82 -0.23 -0.49 0.58 1.43 0.85
1 0.62 -0.47 0.89 0.15 -0.26 0.38 0.58 -0.66 0.12 -0.66 0.71 1.7 0.31
1 0.06 -0.26 3.11 1.65 1.7 0.54 0.65 0.87 0.57 -0.64 0.75 0.83 0.26
1 0.48 -0.51 0.92 -1.02 -0.47 0.89 0.91 -0.18 -0.25 -0.11 -0.16 0.86 1.42
1 0.37 -0.55 -0.83 -0.75 -0.4 0.17 0.16 -0.74 -0.42 -0.48 0.27 0.22 1.71
1 1.07 -0.39 1.58 -0.03 0.51 1.05 0.94 0.07 0.3 -0.24 1.28 1.11 0.53
1 1.26 -0.59 -0.57 -1.05 -0.26 0.57 0.3 -0.82 0.68 -0.15 0.36 1.38 0.91
1 0.9 -0.75 1.22 0.9 0.09 1.13 1.22 -0.58 1.38 0.28 1.02 0.14 1.71
1 0.71 -0.61 -0.02 -0.12 0.44 0.9 1.16 -1.14 0.63 0.79 0.58 0.38 2.44
1 0.84 -0.45 -0.02 -0.69 0.3 0.2 0.66 0.47 0.66 -0.53 1.19 0.36 0.77
1 0.94 -0.72 1.22 0 2.26 1.05 0.71 1.11 -0.42 0.15 1.28 0.55 1.55
1 0.63 -0.48 1.03 -0.15 0.72 0.09 0.5 -0.58 -0.09 -0.37 0.62 0.36 1.11
1 0.59 -0.47 0.16 0.3 0.02 0.65 0.95 -0.82 0.47 0.02 0.36 1.21 0.55
1 0.34 -0.62 1.73 -1.2 0.72 0.49 0.65 -0.18 -0.4 -0.2 0.58 0.24 0.42
1 0.06 -0.61 0.67 -0.45 -0.12 0.25 0.4 -0.58 -0.26 -0.35 0.71 -0.14 1.14
1 0.09 -0.75 -0.97 -1.2 -0.12 0.17 0.61 -0.66 -0.39 -0.59 0.97 0.11 0.87
1 1.5 1.48 0.52 -1.88 1.98 1.13 1.01 -1.3 0.85 0.02 -0.3 1.29 0.04
1 0.69 -0.56 -0.21 -0.99 1.21 1.37 1.26 -0.18 1.31 0.46 -0.03 1.08 0.15
1 0.5 1.35 -0.9 -0.21 -0.68 0.25 0.65 -0.74 -0.19 -0.34 -0.21 0.55 0.91
1 1.08 -0.4 0.81 -1.35 0.09 1.53 1.53 -1.54 0.19 0.16 -0.34 1.34 1.11
1 0.29 1.47 -0.28 -0.6 0.23 0.55 0.6 -0.34 0.12 -0.3 -0.6 0.55 -0.21
1 0.06 -0.51 -0.97 -0.75 0.51 1.13 0.97 -0.66 0.77 -0.01 -0.34 1.04 0.44
1 1.49 1.53 0.27 -0.18 0.79 0.89 0.62 -0.5 -0.6 0.08 -0.38 1.01 1.06
1 1.7 1.12 -0.32 -1.05 0.16 1.53 1.14 -0.74 1.05 -0.07 0.36 1.17 1.01
1 1.11 -0.59 -0.9 -1.05 0.09 1.29 1.36 -1.22 0.96 0.45 -0.21 1.01 0.76
1 1.35 -0.28 0.12 -0.21 0.23 0.73 0.89 -0.34 1.38 0.49 0.49 0.19 0.99
1 1.16 -0.54 -0.35 -0.63 0.58 0.93 1.51 -0.34 0.85 1.66 0.71 0.69 1.63
1 0.06 -0.54 -1.19 -2.12 -0.54 0.68 1.24 -1.54 2.3 0.92 0.71 0.42 1.28
1 1.02 -0.61 0.85 -0.69 -0.4 0.25 0.96 -1.14 1.22 0.23 1.24 1.07 1.65
1 1.01 -0.52 0.19 -1.65 0.79 2.53 1.71 -0.34 0.49 0.86 0.23 0.91 1.41
1 0.95 -0.39 1.14 -0.72 1.07 1.13 0.76 0.23 0.16 0.54 0.75 0.45 1.99
